Rank,Company,Headquarters,Industry,Sales (billion $),Profits (billion $),Assets (billion $),Market Value (billion $)
1.0,HSBC,UK,Banking,146.1,19.1,2349.0,180.8
2.0,General Electric,USA,Conglomerate,172.7,22.2,795.3,330.9
3.0,Bank of America,USA,Banking,119.2,15.0,1715.8,176.5
4.0,JPMorgan Chase,USA,Banking,116.4,15.4,1562.2,136.9
5.0,ExxonMobil,USA,Oil and gas,358.6,40.6,242.1,465.5
6.0,Royal Dutch Shell,Netherlands,Oil and gas,355.8,31.3,266.2,221.1
7.0,BP,UK,Oil and gas,281.0,20.6,236.1,204.9
8.0,Toyota,Japan,Automotive,203.8,14.0,276.4,175.1
9.0,ING Group,Netherlands,Insurance / banking,197.9,12.7,1932.2,75.8
10.0,Berkshire Hathaway,USA,Diversified Financials,118.3,13.2,273.2,216.7
10.0,The Royal Bank of Scotland,UK,Banking,108.5,14.6,3807.5,76.6
12.0,AT&T Inc.,USA,Telecommunications,118.9,12.0,275.6,210.2
13.0,BNP Paribas,France,Banking,116.2,10.7,2494.4,81.9
14.0,Allianz,Germany,Insurance,139.1,10.9,1547.5,80.3
15.0,Total S.A.,France,Oil and gas,199.7,19.2,165.8,181.8
16.0,Walmart,USA,Retailing,378.8,12.7,163.4,198.6
17.0,Chevron,USA,Oil and gas,204.0,18.7,148.8,180.0
18.0,American International Group,USA,Insurance,110.1,6.2,1060.5,118.2
19.0,Gazprom,Russia,Oil and gas,81.8,23.3,201.7,306.8
20.0,AXA,France,Insurance,151.7,7.8,1064.7,70.3
