Name,Years,Gender,Area,Authority,Decile,Roll
Bairds Mainfreight Primary School,1–6,Coed,Otara,State,1.0,372.0
Dawson School,1–6,Coed,Otara,State,1.0,391.0
East Tamaki School,1–6,Coed,East Tamaki,State,1.0,275.0
Ferguson Intermediate,7–8,Coed,Otara,State,1.0,469.0
Flat Bush School,1–6,Coed,Otara,State,1.0,345.0
Holy Cross School,1–8,Coed,Papatoetoe,State integrated,2.0,599.0
Kedgley Intermediate,7–8,Coed,Papatoetoe,State,2.0,766.0
Mayfield School,1–6,Coed,Otara,State,1.0,334.0
Papatoetoe Central School,1–6,Coed,Papatoetoe,State,4.0,660.0
Papatoetoe East School,1–6,Coed,Papatoetoe,State,3.0,500.0
Papatoetoe Intermediate,7–8,Coed,Papatoetoe,State,3.0,804.0
Papatoetoe North School,1–6,Coed,Mangere East,State,3.0,783.0
Papatoetoe South School,1–6,Coed,Papatoetoe,State,2.0,558.0
Papatoetoe West School,1–6,Coed,Papatoetoe,State,3.0,797.0
Puhinui School,1–6,Coed,Papatoetoe,State,3.0,604.0
Redoubt North School,1–8,Coed,Manukau Central,State,2.0,677.0
Rongomai School,1–6,Coed,East Tamaki,State,1.0,204.0
Sir Edmund Hillary Collegiate Junior School,1–6,Coed,Otara,State,1.0,453.0
Sir Edmund Hillary Collegiate Middle School,7–8,Coed,Otara,State,1.0,227.0
South Auckland Seventh-day Adventist School,1–8,Coed,Papatoetoe,State integrated,2.0,300.0
St John The Evangelist School,1–8,Coed,Otara,State integrated,1.0,261.0
TKKM o Otara,1–8,Coed,Otara,State,1.0,42.0
Wymondley Road School,1–6,Coed,Otara,State,1.0,209.0
Yendarra School,1–6,Coed,Otara,State,1.0,306.0
