Name,Nation,Seasons,Championship Titles,Race Starts,Poles,Wins,Podiums,Fastest Laps
Alan Docking Racing,United Kingdom,"2008 , 2009 , 2010 , 2011",0,118.0,6.0,7.0,23.0,7.0
Alpha Motorsport (with ADR ),United Kingdom,2010,0,20.0,0.0,0.0,3.0,1.0
Alpha Team (solo),United Kingdom,2010,0,24.0,0.0,0.0,4.0,0.0
Atech GP / Reid Motorsport,United Kingdom,"2010 , 2011",0,111.0,1.0,7.0,17.0,10.0
Azerti Motorsport,Belgium,"2008 , 2009 , 2010 , 2011",0,112.0,3.0,5.0,18.0,4.0
Barazi-Epsilon,France,"2009 , 2010",0,41.0,0.0,1.0,5.0,1.0
Delta Motorsport (with ADR ),United Kingdom,2009,0,6.0,0.0,0.0,0.0,0.0
Drivex,Spain,2010,0,8.0,0.0,0.0,0.0,0.0
EmiliodeVillota Motorsport,Spain,"2010 , 2011",0,54.0,2.0,2.0,5.0,1.0
EuroInternational,Italy,2008,0,21.0,0.0,0.0,1.0,4.0
FMS International,Italy,2008,0,12.0,1.0,0.0,3.0,0.0
GTA Motor Competición,Spain,2008,0,24.0,0.0,1.0,4.0,0.0
GU-Racing International,Germany,"2008 , 2009 , 2010",1 ( 2010 ),98.0,4.0,7.0,19.0,10.0
Hitech Junior Team,United Kingdom,"2008 , 2009",1 ( 2009 ),46.0,3.0,6.0,12.0,2.0
LRS Formula / Laurent Rédon Motorsport,France,2010,0,11.0,0.0,1.0,1.0,1.0
Racing for Holland,Netherlands,2010,0,8.0,0.0,0.0,0.0,0.0
Reid Motorsport (solo),United Kingdom,2009,0,8.0,1.0,2.0,4.0,0.0
Scuderia Playteam,Italy,2008,0,23.0,1.0,2.0,8.0,0.0
Team Astromega,Belgium,2008,0,24.0,0.0,0.0,4.0,1.0
Ultimate Motorsport,United Kingdom,2009,0,16.0,0.0,1.0,2.0,0.0
