Name,Campeonato Paulista,Copa Libertadores,Campeonato Brasileiro,Copa Sudamericana,Others,Total
Borges,3.0,1.0,7.0,2.0,0.0,13.0
Aloísio,3.0,1.0,6.0,1.0,0.0,11.0
Hugo,7.0,1.0,3.0,0.0,0.0,11.0
Rogério Ceni,2.0,0.0,7.0,1.0,0.0,10.0
Leandro,3.0,1.0,4.0,0.0,0.0,8.0
Alex Silva,3.0,2.0,2.0,0.0,0.0,7.0
Dagoberto,0.0,0.0,7.0,0.0,0.0,7.0
Jorge Wagner,2.0,0.0,4.0,0.0,0.0,6.0
Richarlyson,3.0,1.0,2.0,0.0,0.0,6.0
Souza,3.0,1.0,2.0,0.0,0.0,6.0
Hernanes,1.0,0.0,3.0,1.0,0.0,5.0
Lenílson,5.0,0.0,0.0,0.0,0.0,5.0
Júnior,2.0,1.0,0.0,0.0,0.0,4.0
Miranda,0.0,2.0,2.0,0.0,0.0,4.0
Marcel,2.0,0.0,0.0,0.0,1.0,3.0
Breno,0.0,0.0,2.0,0.0,0.0,2.0
Ilsinho,2.0,0.0,0.0,0.0,0.0,2.0
Jadílson,1.0,1.0,0.0,0.0,0.0,2.0
André Dias,0.0,0.0,1.0,0.0,0.0,1.0
Diego Tardelli,0.0,0.0,1.0,0.0,0.0,1.0
Francisco Alex,0.0,0.0,1.0,0.0,0.0,1.0
Josué,1.0,0.0,0.0,0.0,0.0,1.0
Own goals,0.0,0.0,1.0,0.0,0.0,1.0
Total,43.0,12.0,55.0,5.0,1.0,116.0
