Rider,Bike,Laps,Time,Grid
Noriyuki Haga,Yamaha YZF-R1,23.0,38:35.353,4.0
Max Biaggi,Suzuki GSX-R1000 K7,23.0,+3.518,6.0
Fonsi Nieto,Kawasaki ZX-10R,23.0,+9.142,9.0
Troy Corser,Yamaha YZF-R1,23.0,+9.257,3.0
Troy Bayliss,Ducati 999 F07,23.0,+12.825,7.0
James Toseland,Honda CBR1000RR,23.0,+19.316,1.0
Roberto Rolfo,Honda CBR1000RR,23.0,+20.994,11.0
Régis Laconi,Kawasaki ZX-10R,23.0,+22.452,8.0
Michel Fabrizio,Honda CBR1000RR,23.0,+22.505,12.0
Ruben Xaus,Ducati 999 F06,23.0,+28.352,10.0
Karl Muggeridge,Honda CBR1000RR,23.0,+44.333,16.0
Yoann Tiberio,Honda CBR1000RR,23.0,+48.077,14.0
Guillaume Dietrich,Suzuki GSX-R1000 K6,23.0,+1:23.307,18.0
Luca Morelli,Honda CBR1000RR,23.0,+1:23.826,19.0
Dean Ellison,Ducati 999RS,23.0,+1:37.631,20.0
Max Neukirchner,Suzuki GSX-R1000 K7,6.0,Retirement,2.0
Shinichi Nakatomi,Yamaha YZF-R1,5.0,Retirement,17.0
Steve Martin,Suzuki GSX-R1000 K6,1.0,Retirement,13.0
Jakub Smrž,Ducati 999 F05,0.0,Retirement,15.0
