Round,Pick,Player,Position,School/Club Team
1.0,21.0,Harvey Williams,Running back,Louisiana State
2.0,50.0,Joe Valerio,Center,Pennsylvania
3.0,77.0,Tim Barnett,Wide receiver,Jackson State
5.0,133.0,Charles Mincy,Defensive back,Washington
6.0,162.0,Darrell Malone,Defensive back,Jacksonville State
7.0,189.0,Bernard Ellison,Defensive back,Nevada-Reno
8.0,218.0,Tom Dohring,Offensive tackle,Michigan
9.0,244.0,Robbie Keen,Kicker,California
10.0,273.0,Eric Ramsey,Defensive back,Auburn
11.0,300.0,Bobby Olive,Wide receiver,Ohio State
12.0,329.0,Ron Shipley,Center,New Mexico
