Position,Club,Played,Points,Wins,Draws,Losses,Goals for,Goals against,Goal Difference
1.0,Sevilla FC,42.0,80.0,23.0,11.0,8.0,66.0,39.0,27.0
2.0,Real Betis,42.0,75.0,21.0,12.0,9.0,49.0,32.0,17.0
3.0,CD Tenerife,42.0,74.0,21.0,11.0,10.0,58.0,32.0,26.0
4.0,Atlético de Madrid,42.0,74.0,21.0,11.0,10.0,59.0,39.0,20.0
5.0,Albacete,42.0,66.0,18.0,12.0,12.0,46.0,40.0,6.0
6.0,Recreativo de Huelva,42.0,65.0,15.0,20.0,7.0,45.0,29.0,16.0
7.0,Sporting de Gijón,42.0,63.0,17.0,12.0,13.0,55.0,49.0,6.0
8.0,Levante UD,42.0,60.0,13.0,21.0,8.0,58.0,50.0,8.0
9.0,UD Salamanca,42.0,59.0,17.0,8.0,17.0,51.0,48.0,3.0
10.0,Real Jaén,42.0,59.0,15.0,14.0,13.0,37.0,40.0,-3.0
11.0,CF Extremadura,42.0,58.0,16.0,10.0,16.0,42.0,46.0,-4.0
12.0,Córdoba CF,42.0,56.0,14.0,14.0,14.0,40.0,43.0,-3.0
13.0,Real Murcia,42.0,52.0,13.0,13.0,16.0,53.0,54.0,-1.0
14.0,CD Badajoz,42.0,51.0,10.0,21.0,11.0,34.0,38.0,-4.0
15.0,SD Eibar,42.0,50.0,11.0,17.0,14.0,30.0,32.0,-2.0
16.0,Racing de Ferrol,42.0,50.0,12.0,14.0,16.0,46.0,50.0,-4.0
17.0,CD Leganés,42.0,47.0,9.0,20.0,13.0,45.0,41.0,4.0
18.0,Elche CF,42.0,46.0,10.0,16.0,16.0,45.0,56.0,-11.0
19.0,SD Compostela,42.0,45.0,11.0,12.0,19.0,41.0,65.0,-24.0
20.0,Universidad de Las Palmas,42.0,39.0,8.0,15.0,19.0,34.0,63.0,-29.0
21.0,Getafe CF,42.0,35.0,8.0,11.0,23.0,42.0,65.0,-23.0
22.0,UE Lleida,42.0,28.0,5.0,13.0,24.0,40.0,65.0,-25.0
