Pick,Player,Team,Position,School
1.0,Bryan Bullington,Pittsburgh Pirates,RHP,Ball State
2.0,B. J. Upton,Tampa Bay Devil Rays,SS,Greenbrier Christian Academy (VA)
3.0,Chris Gruler,Cincinnati Reds,RHP,Liberty Union High School (Calif.)
4.0,Adam Loewen,Baltimore Orioles,LHP,Fraser Valley Christian High School (CAN)
5.0,Clint Everts,Montreal Expos,RHP,Cypress Falls High School (TX)
6.0,Zack Greinke,Kansas City Royals,RHP,Apopka High School (FL)
7.0,Prince Fielder,Milwaukee Brewers,1B,Eau Gallie High School (FL)
8.0,Scott Moore,Detroit Tigers,SS,Cypress High School (CA)
9.0,Jeff Francis,Colorado Rockies,LHP,University of British Columbia
10.0,Drew Meyer,Texas Rangers,SS/ 2B,University of South Carolina
11.0,Jeremy Hermida,Florida Marlins,OF,Joseph Wheeler High School (GA)
12.0,Joe Saunders,Los Angeles Angels of Anaheim,LHP,Virginia Tech
13.0,Khalil Greene,San Diego Padres,SS,Clemson University
14.0,Russ Adams,Toronto Blue Jays,SS,University of North Carolina
15.0,Scott Kazmir,New York Mets,LHP,Cypress Falls High School (TX)
16.0,Nick Swisher,Oakland Athletics,1B,Ohio State University
17.0,Cole Hamels,Philadelphia Phillies,LHP,Rancho Bernardo High School (Calif.)
18.0,Royce Ring,Chicago White Sox,LHP,San Diego State University
19.0,James Loney,Los Angeles Dodgers,1B,Lawrence E. Elkins High School (TX)
20.0,Denard Span,Minnesota Twins,OF,Tampa Catholic High School (FL)
21.0,Bobby Brownlie,Chicago Cubs,RHP,Rutgers University
22.0,Jeremy Guthrie,Cleveland Indians,RHP,Stanford University
23.0,Jeff Francoeur,Atlanta Braves,OF,Parkview High School (GA)
24.0,Joe Blanton,Oakland Athletics,RHP,University of Kentucky
25.0,Matt Cain,San Francisco Giants,RHP,Houston High School (TN)
26.0,John McCurdy,Oakland Athletics,SS,University of Maryland
27.0,Sergio Santos,Arizona Diamondbacks,SS,Mater Dei High School (Calif.)
28.0,"John Mayberry, Jr. *",Seattle Mariners,1B,Rockhurst High School (MO)
29.0,Derick Grigsby,Houston Astros,RHP,Northeast Texas Community College
30.0,Ben Fritz,Oakland Athletics,RHP,Fresno State (CA)
