Rank,Nation,Gold,Silver,Bronze,Total
1,South Korea,7.0,3.0,2.0,12.0
2,United States,3.0,0.0,1.0,4.0
3,Spain,2.0,2.0,4.0,8.0
4,Iran,1.0,3.0,1.0,5.0
5,Brazil,1.0,1.0,0.0,2.0
6,China,1.0,0.0,1.0,2.0
6,Mexico,1.0,0.0,1.0,2.0
8,France,0.0,1.0,1.0,2.0
8,Russia,0.0,1.0,1.0,2.0
8,Turkey,0.0,1.0,1.0,2.0
11,Chinese Taipei,0.0,1.0,0.0,1.0
11,Great Britain,0.0,1.0,0.0,1.0
11,Morocco,0.0,1.0,0.0,1.0
11,Puerto Rico,0.0,1.0,0.0,1.0
15,Australia,0.0,0.0,2.0,2.0
15,Canada,0.0,0.0,2.0,2.0
15,Thailand,0.0,0.0,2.0,2.0
18,Austria,0.0,0.0,1.0,1.0
18,Belgium,0.0,0.0,1.0,1.0
18,Croatia,0.0,0.0,1.0,1.0
18,Cuba,0.0,0.0,1.0,1.0
18,Egypt,0.0,0.0,1.0,1.0
18,Germany,0.0,0.0,1.0,1.0
18,Israel,0.0,0.0,1.0,1.0
18,Italy,0.0,0.0,1.0,1.0
18,Japan,0.0,0.0,1.0,1.0
18,Netherlands,0.0,0.0,1.0,1.0
18,Senegal,0.0,0.0,1.0,1.0
18,Venezuela,0.0,0.0,1.0,1.0
18,Vietnam,0.0,0.0,1.0,1.0
Total,Total,16.0,16.0,32.0,64.0
