Season,Date,Location,Discipline,Position,FIS points
2010.0,20 Dec 2010,"Spindleruv Mlyn , Czech Republic",Slalom,1.0,3910.0
2010.0,19 Jan 2010,"Vratna , Slovakia",Slalom,1.0,4447.0
2011.0,27 Nov 2010,"Levi , Finland",Slalom,3.0,3366.0
2011.0,19 Dec 2010,"Spindleruv Mlyn, Czech Republic",Giant slalom,2.0,5144.0
2011.0,20 Dec 2010,"Spindleruv Mlyn, Czech Republic",Slalom,1.0,3595.0
2011.0,7 Jan 2011,"Liptovska Teplicka , Slovakia",Giant slalom,2.0,5719.0
2012.0,20 Dec 2011,"Solda , Italia",Giant slalom,3.0,3732.0
2012.0,20 Jan 2012,"Hafjell Olympiabakken , Norway",Super combined,2.0,4780.0
2012.0,11 Feb 2012,"Lenggries , Germany",Slalom,1.0,2553.0
2012.0,12 Feb 2012,"Gaal , Austria",Slalom,1.0,1713.0
2012.0,25 Mar 2012,"Hafjell Olympiabakken, Norway",Slalom,2.0,1455.0
2013.0,25 Jan 2013,"Hafjell Olympiabakken , Norway",Super Combined,2.0,5221.0
2013.0,11 Feb 2013,"Wildhaus , Switzerland",Slalom,3.0,1561.0
2013.0,14 Feb 2013,"Schladming , Austria",Giant slalom,2.0,2236.0
2013.0,13 Mar 2013,"S. Valentino Alla Muta , Italia",Slalom,3.0,2251.0
2013.0,13 Mar 2013,"Vratna , Slovakia",Giant slalom,2.0,3495.0
2013.0,14 Mar 2013,"Vratna , Slovakia",Giant slalom,1.0,3183.0
2013.0,28 Mar 2013,"Jasna , Slovakia",Giant slalom,3.0,3190.0
2013.0,4 Apr 2013,"Kirovsk , Russia",Slalom,3.0,1130.0
