Rider,Bike,Laps,Time,Grid
Noriyuki Haga,Yamaha YZF-R1,18.0,32:04.428,1.0
Troy Bayliss,Ducati 999 F07,18.0,+8.403,2.0
Max Biaggi,Suzuki GSX-R1000 K7,18.0,+9.703,3.0
James Toseland,Honda CBR1000RR,18.0,+13.587,5.0
Troy Corser,Yamaha YZF-R1,18.0,+14.898,4.0
Yukio Kagayama,Suzuki GSX-R1000 K7,18.0,+14.954,8.0
Lorenzo Lanzi,Ducati 999 F07,18.0,+19.517,12.0
Michel Fabrizio,Honda CBR1000RR,18.0,+24.120,9.0
Karl Muggeridge,Honda CBR1000RR,18.0,+24.682,6.0
Max Neukirchner,Suzuki GSX-R1000 K6,18.0,+29.197,14.0
Josh Brookes,Honda CBR1000RR,18.0,+32.654,11.0
Ruben Xaus,Ducati 999 F06,18.0,+34.054,15.0
Marco Borciani,Ducati 999 F06,18.0,+37.386,16.0
Alex Polita,Suzuki GSX-R1000 K6,18.0,+37.704,20.0
Jakub Smrž,Ducati 999 F05,18.0,+41.377,17.0
Steve Martin,Honda CBR1000RR,18.0,+42.730,18.0
Mauro Sanchini,Kawasaki ZX-10R,18.0,+59.096,19.0
Roberto Rolfo,Honda CBR1000RR,17.0,Retirement,10.0
Régis Laconi,Kawasaki ZX-10R,15.0,Retirement,7.0
Luca Morelli,Ducati 999RS,12.0,Retirement,22.0
Robertino Pietri,Yamaha YZF-R1,12.0,Retirement,23.0
Marek Svoboda,Yamaha YZF-R1,11.0,Retirement,24.0
Dean Ellison,Ducati 999RS,8.0,Retirement,21.0
Fonsi Nieto,Kawasaki ZX-10R,7.0,Retirement,13.0
