County,Per capita income,Median household income,Median family income,Population,Number of households
Jefferson,"$29,733","$65,603","$77,185",53498.0,19931.0
United States,"$27,334","$51,914","$62,982",308745538.0,116716292.0
Putnam,"$25,857","$52,618","$63,642",55486.0,21981.0
Berkeley,"$25,460","$52,857","$64,001",104169.0,39855.0
Kanawha,"$25,439","$42,669","$54,203",193063.0,84201.0
Ohio,"$23,950","$39,669","$54,909",44443.0,18914.0
Hancock,"$23,118","$38,565","$46,978",30676.0,13297.0
Monongalia,"$23,116","$39,167","$62,966",96189.0,39777.0
Wood,"$22,890","$42,146","$52,058",86956.0,36571.0
Brooke,"$22,377","$39,475","$52,528",24069.0,10020.0
Cabell,"$21,907","$34,492","$48,323",96319.0,41223.0
West Virginia,"$21,232","$38,380","$48,896",1852994.0,763831.0
Mason,"$21,064","$34,419","$43,482",27324.0,11149.0
Harrison,"$21,010","$39,191","$46,882",69099.0,28533.0
Mineral,"$20,805","$36,571","$46,820",28212.0,11550.0
Marshall,"$20,752","$38,115","$49,046",33107.0,13869.0
Morgan,"$20,732","$37,281","$49,974",17541.0,7303.0
Jackson,"$20,633","$41,406","$49,395",29211.0,11931.0
Boone,"$20,457","$39,783","$47,981",24629.0,9928.0
Raleigh,"$20,457","$38,036","$49,837",78859.0,31831.0
Greenbrier,"$20,044","$33,732","$43,182",35480.0,15443.0
Tucker,"$20,020","$32,712","$43,307",7141.0,3057.0
Wetzel,"$19,899","$36,636","$48,523",16583.0,6968.0
Pocahontas,"$19,763","$32,161","$40,906",8719.0,3758.0
McDowell,"$19,609","$36,027","$42,054",22113.0,9176.0
Pendleton,"$19,401","$33,323","$49,613",7695.0,3285.0
Nicholas,"$19,359","$38,457","$45,127",26233.0,10938.0
Grant,"$19,358","$35,593","$46,193",11937.0,4941.0
Preston,"$19,329","$40,753","$46,622",33520.0,12895.0
Monroe,"$18,927","$39,574","$45,106",13502.0,5655.0
Upshur,"$18,823","$36,114","$44,937",24254.0,9619.0
Pleasants,"$18,770","$38,882","$54,391",7605.0,2861.0
Logan,"$18,614","$35,465","$43,475",36743.0,14907.0
Taylor,"$18,562","$36,956","$45,620",16895.0,6778.0
Randolph,"$18,472","$36,176","$47,071",29405.0,11695.0
Wirt,"$18,438","$36,705","$43,517",5717.0,2391.0
Mercer,"$18,431","$32,131","$42,517",62264.0,26603.0
Wayne,"$18,410","$35,079","$44,886",42481.0,17347.0
Ritchie,"$18,255","$32,619","$39,919",10449.0,4367.0
Tyler,"$18,245","$33,496","$42,209",9208.0,3858.0
Lewis,"$18,240","$33,293","$42,281",16372.0,6863.0
Hampshire,"$17,752","$31,792","$45,447",23964.0,9595.0
Wyoming,"$17,662","$36,343","$46,221",23796.0,9687.0
Mingo,"$17,629","$32,902","$40,199",26839.0,11125.0
Braxton,"$17,469","$32,158","$40,421",14523.0,6000.0
Barbour,"$17,304","$31,212","$39,434",16589.0,6548.0
Webster,"$17,268","$28,025","$35,448",9154.0,3792.0
Calhoun,"$17,121","$26,922","$34,897",7627.0,3268.0
Fayette,"$17,082","$31,912","$42,077",46039.0,18813.0
Hardy,"$16,944","$31,347","$41,401",14025.0,5818.0
Lincoln,"$16,439","$30,868","$37,667",21720.0,8783.0
Clay,"$16,205","$30,789","$40,634",9386.0,3728.0
Summers,"$15,190","$27,720","$39,235",13927.0,5572.0
Roane,"$15,103","$27,428","$35,289",14926.0,6195.0
Doddridge,"$14,658","$30,019","$34,016",8202.0,3099.0
Gilmer,"$13,899","$29,706","$38,044",8693.0,2753.0
Marion,"$12,955","$22,154","$28,413",56418.0,23786.0
