Riding,Candidate's Name,Gender,Residence,Occupation,Votes,Rank
Acadie—Bathurst,Odette Robichaud,F,Inkerman Ferry,Stenographer,9850.0,2nd
Beauséjour,Dominic LeBlanc,M,Grande-Digue,Parliamentarian,20059.0,1st
Fredericton,David Innes,M,Fredericton,Engineer,13319.0,2nd
Fundy Royal,Mark Wright,M,Sussex,Sales Representative,5773.0,3rd
Madawaska—Restigouche,Jean-Claude D'Amours,M,Edmundston,Parliamentarian,16266.0,1st
Miramichi,Charles Hubbard,M,Red Bank,Parliamentarian,10590.0,2nd
Moncton—Riverview—Dieppe,Brian Murphy,M,Moncton,Lawyer,17797.0,1st
New Brunswick Southwest,Nancy MacIntosh,F,Hanwell,Political Advisor,5863.0,2nd
Saint John,Paul Zed,M,Rothesay,Lawyer,13285.0,2nd
Tobique—Mactaquac,Sally McGrath,F,Taymouth,High School Teacher,6773.0,2nd
