Name,Date of Birth,Height,Weight,Spike,Block
Andrzej Stelmach,15.08.1972,200.0,98.0,330.0,220.0
Piotr Gruszka,08.03.1977,206.0,102.0,352.0,325.0
Paweł Zagumny,18.10.1977,200.0,88.0,336.0,317.0
Dawid Murek,24.07.1977,196.0,94.0,341.0,325.0
Krzysztof Ignaczak,15.05.1972,188.0,86.0,330.0,315.0
Łukasz Kadziewicz,20.09.1980,206.0,84.0,350.0,328.0
Radosław Rybak,25.03.1973,195.0,90.0,356.0,330.0
Sebastian Świderski,26.06.1977,193.0,88.0,354.0,325.0
Piotr Gabrych,05.07.1972,197.0,95.0,342.0,318.0
Arkadiusz Gołaś,10.05.1981,201.0,82.0,365.0,342.0
Michał Bąkiewicz,22.03.1981,196.0,79.0,338.0,324.0
Robert Szczerbaniuk,29.05.1977,199.0,89.0,350.0,327.0
