Name,Team,Laps,Time/Retired,Grid,Points
Justin Wilson,RuSPORT,69.0,1:46:02.236,2.0,32.0
Jan Heylen,Conquest Racing,69.0,+7.227,7.0,27.0
Bruno Junqueira,Dale Coyne Racing,69.0,+8.419,11.0,26.0
Tristan Gommendy,PKV Racing,69.0,+9.037,3.0,23.0
Neel Jani,PKV Racing,69.0,+22.262,4.0,21.0
Simon Pagenaud,Team Australia,69.0,+22.698,5.0,19.0
Sébastien Bourdais,N/H/L Racing,69.0,+22.955,1.0,18.0
Oriol Servià,Forsythe Racing,69.0,+23.406,13.0,15.0
Graham Rahal,N/H/L Racing,69.0,+23.949,6.0,13.0
Ryan Dalziel,Pacific Coast Motorsports,69.0,+29.554,15.0,11.0
Dan Clarke,Minardi Team USA,69.0,+38.903,10.0,11.0
Katherine Legge,Dale Coyne Racing,69.0,+44.860,14.0,9.0
Robert Doornbos,Minardi Team USA,69.0,+1:00.638,9.0,8.0
Will Power,Team Australia,69.0,+1:01.204,8.0,7.0
Alex Tagliani,Rocketsports,68.0,+ 1 Lap,12.0,6.0
Alex Figge,Pacific Coast Motorsports,68.0,+ 1 Lap,16.0,5.0
Paul Tracy,Forsythe Racing,14.0,Mechanical,17.0,4.0
