No. in series,No. in season,Title,Directed by,Written by,Original air date
337.0,1.0,"""Till Death Do Us Part""",Cameron Welsh,Louise Crane-Bowes,28February2006
338.0,2.0,"""The Real Thing""",Bill Hughes,John Banas,7March2006
339.0,3.0,"""Moment of Truth""",Cameron Welsh,Sean Nash,14March2006
340.0,4.0,"""No Way Out""",Robert Marchand,Faith McKinnon,21March2006
341.0,5.0,"""The Things We Do""",Lynn Hegarty,Kevin Roberts,28March2006
342.0,6.0,"""Facing the Music""",Jean-Pierre Mignon,Charlie Strachan,4April2006
343.0,7.0,"""Behind Closed Doors""",Cameron Welsh,Chris Roache,11April2006
344.0,8.0,"""The Mercy Seat""",Peter Fisk,Peter Gawler,18April2006
345.0,9.0,"""Shadows of the Heart""",Shawn Seet,Sam Meikle,25April2006
346.0,10.0,"""Just Desserts""",Jean-Pierre Mignon,Tim Gooding,2May2006
347.0,11.0,"""Brothers in Arms""",Nicholas Buffalo,Fiona Kelly,9May2006
348.0,12.0,"""Wait and See""",Lynn Hegarty,John Banas,16May2006
349.0,13.0,"""Getting to Know You""",Peter Fisk,Sean Nash,23May2006
350.0,14.0,"""Sink or Swim""",Jean-Pierre Mignon,Suzanne Hawley,30May2006
351.0,15.0,"""The Way of It""",Catherine Millard,Sally Webb & Charlie Strachan,6June2006
352.0,16.0,"""An Apple a Day""",Bill Hughes,Charlie Strachan & Sally Webb,6June2006
353.0,17.0,"""A Rock and a Hard Place""",Catherine Roden,Charlie Strachan & Sally Webb,13June2006
354.0,18.0,"""One for the Road""",Lynn Hegarty,Peter Gawler,20June2006
355.0,19.0,"""By Choice or By Chance""",Catherine Millard,Margaret Wilson,27June2006
356.0,20.0,"""Tough Love""",Bill Hughes,Sam Meikle,4July2006
357.0,21.0,"""When Duty Calls""",Cameron Welsh,Chris Roache,11July2006
358.0,22.0,"""Two by Two""",John Banas,Chris Roache,18July2006
359.0,23.0,"""Drawing the Line""",Pino Amenta,Sean Nash,25July2006
360.0,24.0,"""Truth Hurts""",Bill Hughes,Louise Crane-Bowes,1August2006
361.0,25.0,"""Extreme Measures""",Lynn Hegarty,Fiona Kelly,8August2006
362.0,26.0,"""Mind Games""",Cameron Welsh,Charlie Strachan,15August2006
363.0,27.0,"""One Wrong Step""",Pino Amenta,Sally Webb,22August2006
364.0,28.0,"""Private Lives""",Robert Marchand,Peter Gawler,29August2006
365.0,29.0,"""The Other Man's Shoes""",Peter Fisk,Margaret Wilson,5September2006
366.0,30.0,"""To the Ends of the Earth""",Martin Sacks,Sam Meikle,12September2006
367.0,31.0,"""Ain't Love Grand""",Daina Reid,Kevin Roberts,19September2006
368.0,32.0,"""Happy Returns""",Nicholas Buffalo,John Banas,26September2006
369.0,33.0,"""Dead Girl Walking""",Jeffrey Walker,Sean Nash,3October2006
370.0,34.0,"""Contact""",Cameron Welsh,Andrew Kelly,10October2006
371.0,35.0,"""Where the Truth Lies""",Kevin Carlin,Fiona Kelly,17October2006
372.0,36.0,"""Jaws of Death""",Bill Hughes,Jeff Truman,24October2006
373.0,37.0,"""Love, Pain & the Whole Damn Thing""",Peter Fisk,Blake Ayshford,31October2006
374.0,38.0,"""Breaking Point""",Cameron Welsh,Peter Gawler,7November2006
375.0,39.0,"""Love & Hate""",Tony Krawitz,Sally Webb,14November2006
