Position,Team,Played,Wins,Draws,Losses,Scored,Conceded,Points
1.0,Cerro Porteño,11.0,8.0,1.0,2.0,24.0,10.0,25.0
2.0,Sportivo Luqueño,11.0,6.0,3.0,2.0,17.0,16.0,21.0
3.0,Olimpia,11.0,6.0,2.0,3.0,15.0,7.0,20.0
4.0,Presidente Hayes,11.0,4.0,4.0,3.0,11.0,10.0,16.0
5.0,Guaraní,11.0,4.0,3.0,4.0,11.0,13.0,15.0
6.0,12 de Octubre,11.0,4.0,2.0,5.0,14.0,15.0,14.0
7.0,Sol de América,11.0,3.0,4.0,4.0,12.0,15.0,13.0
8.0,Cerro Corá,11.0,3.0,3.0,5.0,15.0,18.0,12.0
9.0,Atl. Colegiales,11.0,3.0,3.0,5.0,10.0,14.0,12.0
10.0,San Lorenzo,11.0,3.0,3.0,5.0,12.0,17.0,12.0
11.0,Nacional,11.0,2.0,4.0,5.0,18.0,20.0,10.0
12.0,Libertad,11.0,2.0,4.0,5.0,8.0,12.0,10.0
