Driver,Seasons,Entries,Poles,Percentage
Michael Schumacher,"1991 – 2006 , 2010 – 2012",308.0,68.0,22.08%
Ayrton Senna,1984 – 1994,162.0,65.0,40.12%
Sebastian Vettel,2007 – 2013,118.0,43.0,36.44%
Jim Clark,1960 – 1968,73.0,33.0,45.21%
Alain Prost,"1980 – 1991 , 1993",202.0,33.0,16.34%
Nigel Mansell,"1980 – 1992 , 1994 – 1995",191.0,32.0,16.75%
Lewis Hamilton,2007 – 2013,127.0,31.0,24.41%
Juan Manuel Fangio,"1950 – 1951 , 1953 – 1958",52.0,29.0,55.77%
Mika Häkkinen,1991 – 2001,165.0,26.0,15.76%
Niki Lauda,"1971 – 1979 , 1982 – 1985",177.0,24.0,13.56%
Nelson Piquet,1978 – 1991,207.0,24.0,11.59%
