Suburb,Population (in 2008),Median age (in 2006),Mean household size (in 2006),Area (km²),Density (/km²),Date first settled as a suburb,Gazetted as a Division Name
Chifley,2325.0,36 years,2.3 persons,1.6,1453.0,1966.0,12 May 1966
Curtin,5133.0,41 years,2.5 persons,4.8,1069.0,1962.0,20 September 1962
Farrer,3360.0,41 years,2.7 persons,2.1,1600.0,1967.0,12 May 1966
Garran,3175.0,39 years,2.5 persons,2.7,1175.0,1966.0,12 May 1966
Hughes,2898.0,41 years,2.5 persons,1.8,1610.0,1963.0,20 September 1962
Isaacs,2424.0,45 years,2.6 persons,3.1,781.0,1986.0,12 May 1966
Lyons,2444.0,38 years,2.1 persons,2.3,1062.0,1965.0,20 September 1962
Mawson,2861.0,40 years,2.2 persons,2.1,1362.0,1967.0,12 May 1966
O'Malley,684.0,47 years,3.1 persons,2.6,263.0,1973.0,12 May 1966
Pearce,2509.0,41 years,2.3 persons,1.7,1475.0,1967.0,12 May 1966
Phillip,1910.0,32 years,1.7 persons,2.6,734.0,1966.0,12 May 1966
Torrens,2265.0,38 years,2.6 persons,1.3,1742.0,1966.0,12 May 1966
