Week,Date,Opponent,Result,Attendance
1.0,"September 28, 1947",at Philadelphia Eagles,L 45-42,35406.0
2.0,"October 2, 1947",Pittsburgh Steelers,W 27-26,36585.0
3.0,"October 12, 1947",New York Giants,W 28-20,36533.0
4.0,"October 19, 1947",at Green Bay Packers,L 27-10,28572.0
5.0,"October 26, 1947",Chicago Bears,L 56-20,36591.0
6.0,"November 2, 1947",Philadelphia Eagles,L 38-14,36591.0
7.0,"November 9, 1947",at Pittsburgh Steelers,L 21-14,36257.0
8.0,"November 16, 1947",at Detroit Lions,L 38-21,17003.0
9.0,"November 23, 1947",Chicago Cardinals,W 45-21,35362.0
10.0,"November 30, 1947",at Boston Yanks,L 27-24,24800.0
11.0,"December 7, 1947",at New York Giants,L 35-10,25594.0
12.0,"December 14, 1947",Boston Yanks,W 40-13,33226.0
