Date,Opponent,Score,Loss,Attendance,Record
September 1,Orioles,5 - 2,Ponson (7-10),42647.0,71-60
September 2,Orioles,8 - 6,Karsay (4-7),42736.0,71-61
September 3,Orioles,12 - 11 (13),Trombley (4-5),42630.0,72-61
September 4,Devil Rays,5 - 1,Lopez (11-10),42628.0,73-61
September 5,Devil Rays,7 - 4,Fiore (1-1),42660.0,74-61
September 6,Devil Rays,6 - 2,Harper (0-1),42742.0,75-61
September 7,Devil Rays,4 - 3,Karsay (4-8),42709.0,75-62
September 8,White Sox,5 - 4,Woodard (1-3),42526.0,75-63
September 9,White Sox,9 - 3,Garland (3-6),42561.0,76-63
September 12,Red Sox,8 - 6,Finley (12-11),42714.0,76-64
September 13,Red Sox,10 - 3,Ohka (3-5),42667.0,77-64
September 14,Red Sox,7 - 4,Nagy (2-5),42709.0,77-65
September 15,@ Yankees,11 - 1,Cone (4-12),48443.0,78-65
September 16,@ Yankees,6 - 3,Bere (5-3),55097.0,78-66
September 17,@ Yankees,15 - 4,Neagle (7-5),50174.0,79-66
September 18,@ Yankees,2 - 0,Clemens (13-7),31317.0,80-66
September 19,@ Red Sox,7 - 4,Nagy (2-6),32512.0,80-67
September 20,@ Red Sox,2 - 1,Martínez (17-6),33002.0,81-67
September 20,@ Red Sox,5 - 4,Cormier (2-3),32751.0,82-67
September 21,@ Red Sox,9 - 8,Speier (4-2),31404.0,82-68
September 21,@ Red Sox,8 - 5,Wakefield (6-10),32743.0,83-68
September 22,@ Royals,3 - 2,Karsay (5-9),15036.0,83-69
September 23,@ Royals,11 - 1,Reichert (8-9),20253.0,84-69
September 24,@ Royals,9 - 0,Nagy (2-7),12606.0,84-70
September 25,White Sox,9 - 2,Garland (4-8),42500.0,85-70
September 25,Twins,4 - 3,Shuey (4-2),42853.0,85-71
September 26,Twins,4 - 2,Romero (2-7),42773.0,86-71
September 27,Twins,8 - 2,Radke (12-16),42864.0,87-71
September 28,Twins,4 - 3 (10),Wickman (1-3),42821.0,87-72
September 29,Blue Jays,8 - 4,Trachsel (8-15),42768.0,88-72
September 30,Blue Jays,6 - 5,Loaiza (10-13),42676.0,89-72
