County,Per capita income,Median household income,Median family income,Population,Number of households
Summit,"$40,270","$79,461","$91,286",36324.0,12990.0
United States,"$27,334","$51,914","$62,982",308745538.0,116716292.0
Wasatch,"$26,873","$65,204","$68,892",23530.0,7287.0
Rich,"$25,376","$54,737","$55,545",2264.0,805.0
Davis,"$25,244","$66,866","$73,259",306479.0,93545.0
Kane,"$25,155","$43,540","$48,853",7125.0,2900.0
Salt Lake,"$25,041","$58,004","$67,451",1029655.0,342622.0
Morgan,"$24,276","$70,152","$77,429",9469.0,2820.0
Uintah,"$24,160","$59,730","$65,516",32588.0,10563.0
Garfield,"$23,187","$44,745","$57,351",5172.0,1930.0
Utah,"$23,139","$56,330","$64,013",2763885.0,877692.0
Daggett,"$22,862","$36,389","$60,938",1059.0,426.0
Weber,"$22,849","$54,086","$61,300",231236.0,78748.0
Tooele,"$22,020","$60,590","$65,618",58218.0,17971.0
Duchesne,"$21,787","$52,895","$58,364",18607.0,6003.0
Washington,"$21,378","$50,050","$54,315",138115.0,46334.0
Grand,"$20,611","$41,396","$53,291",9225.0,3889.0
Box Elder,"$20,465","$55,135","$60,518",49975.0,16058.0
Carbon,"$20,260","$41,967","$52,106",21403.0,7978.0
Utah,"$20,210","$56,927","$62,938",516564.0,140602.0
Emery,"$19,968","$49,237","$58,086",10976.0,3732.0
Wayne,"$19,829","$49,414","$52,500",2778.0,1059.0
Cache,"$19,670","$47,013","$55,136",112656.0,34722.0
Sevier,"$18,856","$45,622","$51,860",20802.0,7094.0
Millard,"$18,839","$44,594","$53,735",12503.0,4201.0
Juab,"$18,193","$53,225","$55,910",10246.0,3093.0
Iron,"$16,898","$42,247","$46,665",46163.0,15022.0
Piute,"$16,140","$37,708","$48,438",1556.0,576.0
Beaver,"$16,131","$41,514","$46,426",6629.0,2265.0
Sanpete,"$15,731","$42,395","$48,952",27822.0,7952.0
San Juan,"$15,150","$38,076","$45,653",14746.0,4505.0
