Date,Opponent,Score,Loss,Attendance,Record
July 1,Yankees,4 - 1,Alexander (7-5),41476.0,46-29
July 2,Yankees,5 - 3,Key (6-3),35202.0,46-30
July 3,Yankees,3 - 2 (10),Bordi (1-2),40376.0,47-30
July 4,@ Athletics,3 - 2,Caudill (4-4),46770.0,47-31
July 5,@ Athletics,8 - 2,Krueger (5-8),17937.0,48-31
July 6,@ Athletics,5 - 1,Alexander (7-6),23230.0,48-32
July 7,@ Athletics,8 - 2,McCatty (4-4),28631.0,49-32
July 8,@ Mariners,4 - 0,Moore (7-5),20817.0,50-32
July 9,@ Mariners,9 - 4 (13),Vande Berg (0-1),10393.0,51-32
July 10,@ Mariners,11 - 1,Wills (4-2),12815.0,52-32
July 11,@ Angels,5 - 3,Slaton (4-8),31672.0,53-32
July 12,@ Angels,5 - 3,Key (7-4),35870.0,53-33
July 13,@ Angels,4 - 3,Lavelle (3-3),42054.0,53-34
July 14,@ Angels,5 - 3,Lavelle (3-4),35306.0,53-35
July 18,Athletics,6 - 4,Lavelle (3-5),32231.0,53-36
July 19,Athletics,5 - 1,Sutton (9-6),28218.0,54-36
July 20,Athletics,5 - 1,Stieb (9-6),35187.0,54-37
July 21,Athletics,11 - 4,Krueger (7-9),36109.0,55-37
July 22,Mariners,3 - 1,Langston (5-7),25110.0,56-37
July 23,Mariners,4 - 2,Moore (8-6),28419.0,57-37
July 24,Mariners,3 - 1,Young (7-11),26163.0,58-37
July 25,Angels,7 - 0,Witt (8-7),32083.0,59-37
July 26,Angels,8 - 3,Lugo (3-3),31294.0,60-37
July 27,Angels,8 - 3,Mack (0-1),44116.0,61-37
July 28,Angels,5 - 1,McCaskill (6-7),36190.0,62-37
July 29,@ Orioles,4 - 3 (10),Boddicker (10-11),41599.0,63-37
July 30,@ Orioles,4 - 3 (10),Lavelle (3-6),26561.0,63-38
July 31,@ Orioles,5 - 3,Martínez (7-7),32044.0,64-38
