Rank,Nation,Gold,Silver,Bronze,Total
1,Hungary,7.0,5.0,5.0,17.0
2,Germany,5.0,3.0,3.0,11.0
3,Russia,2.0,2.0,6.0,10.0
4,Italy,2.0,3.0,1.0,6.0
5,Canada,4.0,1.0,0.0,5.0
6,Australia,2.0,1.0,1.0,4.0
7,Czech Republic,2.0,1.0,1.0,4.0
8,Romania,0.0,2.0,1.0,3.0
9,Ukraine,0.0,1.0,2.0,3.0
10,Israel,1.0,1.0,0.0,2.0
11,Slovakia,1.0,1.0,0.0,2.0
12,Norway,0.0,1.0,1.0,2.0
13,Sweden,0.0,1.0,1.0,2.0
14,Yugoslavia,0.0,1.0,1.0,2.0
15,Spain,0.0,0.0,2.0,2.0
16,Belarus,0.0,1.0,0.0,1.0
17,Poland,0.0,1.0,0.0,1.0
18,Argentina,0.0,0.0,1.0,1.0
Total,Total,26.0,26.0,26.0,78.0
