Rank,Rider,Manufacturer,Points,Wins
1.0,Doug Polen,Ducati,432.0,17.0
2.0,Raymond Roche,Ducati,282.0,4.0
3.0,Rob Phillis,Kawasaki,267.0,0.0
4.0,Stéphane Mertens,Ducati,217.0,2.0
5.0,Fabrizio Pirovano,Yamaha,195.0,0.0
6.0,Terry Rymer,Yamaha,162.0,0.0
7.0,Carl Fogarty,Honda,146.0,0.0
8.0,Fred Merkel,Honda,124.0,0.0
9.0,Giancarlo Falappa,Ducati,113.0,0.0
10.0,Davide Tardozzi,Ducati,108.0,0.0
11.0,Udo Mark,Yamaha,68.0,0.0
12.0,Jeffrey de Vries,Yamaha,66.0,0.0
13.0,Aaron Slight,Kawasaki,65.0,0.0
14.0,Kevin Magee,Yamaha,63.0,1.0
15.0,Jari Suhonen,Yamaha,61.0,0.0
16.0,Juan López Mella,Honda,57.0,0.0
17.0,Scott Russell,Kawasaki,53.0,0.0
18.0,Daniel Amatriain,Honda,47.0,0.0
19.0,Edwin Weibel,Honda,41.0,0.0
20.0,Jean Yves Mounier,Yamaha,41.0,0.0
21.0,Rob McElnea,Yamaha,35.0,0.0
22.0,Brian Morrison,Yamaha,33.0,0.0
23.0,Niall Mackenzie,Honda,33.0,0.0
24.0,Linnley Clarke,Yamaha,30.0,0.0
25.0,Yves Brisson,Honda,30.0,0.0
26.0,Baldassarre Monti,Honda,27.0,0.0
27.0,Steve Crevier,Kawasaki,26.0,0.0
28.0,Malcolm Campbell,Honda,23.0,0.0
29.0,Reuben McMurter,Honda,22.0,0.0
30.0,Massimo Broccoli,Kawasaki,21.0,0.0
31.0,Tom Kipp,Yamaha,20.0,1.0
32.0,Pascal Picotte,Yamaha,20.0,1.0
33.0,Scott Doohan,Yamaha,20.0,0.0
34.0,Benoit Pilon,Yamaha,20.0,0.0
35.0,Piergiorgio Bontempi,Kawasaki,18.0,0.0
36.0,Steve Martin,Suzuki,17.0,0.0
37.0,John Hopperstad,Yamaha,17.0,0.0
38.0,Peter Rubatto,Yamaha,17.0,0.0
39.0,Jacques Guenette,Kawasaki,15.0,0.0
40.0,Michael O'Connor,Honda,14.0,0.0
