Administrative county,Area 1891 (Statute acres),Population 1891,Area 1961 (Statute acres),Population 1961
Anglesey,175836.0,50098.0,176694.0,51705.0
Brecknockshire,469894.0,51393.0,469281.0,55185.0
Cardiganshire,443071.0,63467.0,443189.0,53648.0
Carmarthenshire,587816.0,130566.0,588271.0,168008.0
Caernarfonshire (1),360138.0,117233.0,364108.0,121767.0
Denbighshire,424235.0,118843.0,427978.0,174151.0
Flintshire,164051.0,77277.0,163707.0,150082.0
Glamorgan,505815.0,467954.0,468808.0,523253.0
Merionethshire,427810.0,49212.0,422372.0,38310.0
Monmouthshire (2),342548.0,203347.0,346779.0,336556.0
Montgomeryshire,510111.0,58003.0,510110.0,41165.0
Pembrokeshire,392710.0,88296.0,393008.0,94124.0
