Dep.,Chief town,Arrondissement,Population (1999),Area (Square km),Pop density,Cantons,Communes
01,Belley,Belley,"79,656",1307.0,61.0,9.0,107.0
01,Bourg-en-Bresse,Bourg-en-Bresse,"295,351",3105.0,95.0,24.0,219.0
01,Gex,Gex,"59,336",426.0,139.0,3.0,29.0
01,Nantua,Nantua,"80,927",924.0,88.0,7.0,64.0
02,Château-Thierry,Château-Thierry,"68,570",1193.0,57.0,5.0,123.0
02,Laon,Laon,"162,873",2461.0,66.0,13.0,278.0
02,Saint-Quentin,Saint-Quentin,"134,597",1071.0,126.0,9.0,126.0
02,Soissons,Soissons,"100,627",1243.0,81.0,7.0,159.0
02,Vervins,Vervins,"68,822",1401.0,49.0,8.0,130.0
03,Montluçon,Montluçon,"117,852",2328.0,51.0,12.0,106.0
03,Moulins,Moulins,"106,705",2996.0,36.0,12.0,111.0
03,Vichy,Vichy,"120,164",2016.0,60.0,11.0,103.0
04,Barcelonnette,Barcelonnette,"7,569",1028.0,7.0,2.0,16.0
04,Castellane,Castellane,"8,125",1320.0,6.0,5.0,32.0
04,Digne-les-Bains,Digne-les-Bains,"48,128",2465.0,20.0,10.0,65.0
04,Forcalquier,Forcalquier,"75,739",2112.0,36.0,13.0,87.0
05,Briançon,Briançon,"32,124",2138.0,15.0,7.0,38.0
05,Gap,Gap,"89,295",3411.0,26.0,23.0,139.0
06,Grasse,Grasse,"504,632",1231.0,410.0,19.0,62.0
06,Nice,Nice,"506,694",3067.0,165.0,33.0,101.0
07,Largentière,Largentière,"44,264",1928.0,23.0,10.0,103.0
07,Privas,Privas,"118,028",1742.0,68.0,11.0,110.0
07,Tournon-sur-Rhône,Tournon-sur-Rhône,"123,731",1858.0,67.0,12.0,126.0
08,Charleville-Mézières,Charleville-Mézières,"171,608",1825.0,94.0,17.0,160.0
08,Rethel,Rethel,"33,951",1200.0,28.0,6.0,101.0
08,Sedan,Sedan,"62,096",792.0,78.0,6.0,79.0
08,Vouziers,Vouziers,"22,475",1412.0,16.0,8.0,123.0
09,Foix,Foix,"50,114",2078.0,24.0,9.0,135.0
09,Pamiers,Pamiers,"61,058",1315.0,46.0,7.0,115.0
09,Saint-Girons,Saint-Girons,"26,033",1497.0,17.0,6.0,82.0
10,Bar-sur-Aube,Bar-sur-Aube,"30,396",1193.0,25.0,5.0,104.0
