No. in Series,No. in Season,Title,Directed by,Written by,Original air date,Production code,U.S. viewers (millions)
24.0,1.0,"""Home Front""",Ken Olin,Monica Owusu-Breen & Alison Schapker,"September30,2007",201.0,13.26
25.0,2.0,"""An American Family""",Gloria Muzio,David Marshall Grant & Molly Newman,"October7,2007",202.0,12.21
26.0,3.0,"""History Repeating""",Matt Shakman,Jon Robin Baitz & Jennifer Cecil,"October14,2007",203.0,12.71
27.0,4.0,"""States of Union""",Michael Schultz,Sherri Cooper-Landsman & Liz Tigelaar,"October21,2007",204.0,11.92
28.0,5.0,"""Domestic Issues""",Ken Olin,Peter Calloway & Cliff Olin,"October28,2007",205.0,12.75
29.0,6.0,"""Two Places""",Gloria Muzio,Monica Owusu-Breen & Alison Schapker,"November4,2007",206.0,12.25
30.0,7.0,"""36 Hours""",David Paymer,Molly Newman & David Marshall Grant,"November11,2007",207.0,12.53
31.0,8.0,"""Something New""",Michael Morris,Jennifer Cecil & Sherri Cooper-Landsman,"November25,2007",208.0,12.52
33.0,10.0,"""The Feast of the Epiphany""",Laura Innes,David Marshall Grant & Jason Wilborn,"January13,2008",210.0,10.92
34.0,11.0,"""The Missionary Imposition""",Michael Morris,Daniel Silk & Brian Studler,"February10,2008",211.0,8.63
35.0,12.0,"""Compromises""",David Paymer,Cliff Olin & Peter Calloway,"February17,2008",212.0,8.50
36.0,13.0,"""Separation Anxiety""",Gloria Muzio,David Marshall Grant & Molly Newman,"April20,2008",213.0,10.50
37.0,14.0,"""Double Negative""",Michael Schultz,Josh Reims & Liz Tigelaar,"April27,2008",214.0,11.55
