Position,Club,Played,Points,Wins,Draws,Losses,Goals for,Goals against,Goal Difference
1.0,Deportivo La Coruña,30.0,43.0,18.0,7.0,5.0,53.0,29.0,24.0
2.0,Real Valladolid,30.0,41.0,17.0,7.0,6.0,48.0,27.0,21.0
3.0,RC Celta de Vigo,30.0,36.0,15.0,6.0,9.0,57.0,33.0,24.0
4.0,AD Rayo Vallecano,30.0,36.0,15.0,6.0,9.0,44.0,39.0,5.0
5.0,Real Gijón CF,30.0,34.0,13.0,8.0,9.0,47.0,38.0,9.0
6.0,Real Oviedo CF,30.0,32.0,12.0,8.0,10.0,43.0,29.0,14.0
7.0,Club Ferrol,30.0,32.0,13.0,6.0,11.0,42.0,37.0,5.0
8.0,Burgos CF,30.0,32.0,11.0,10.0,9.0,34.0,35.0,-1.0
9.0,CF Badalona,30.0,30.0,12.0,6.0,12.0,44.0,30.0,14.0
10.0,UP Langreo,30.0,28.0,12.0,4.0,14.0,32.0,37.0,-5.0
11.0,Real Santander,30.0,27.0,11.0,5.0,14.0,39.0,38.0,1.0
12.0,UD Lérida,30.0,24.0,8.0,8.0,14.0,25.0,51.0,-26.0
13.0,CD Badajoz,30.0,22.0,10.0,2.0,18.0,31.0,52.0,-21.0
14.0,CD Europa,30.0,21.0,8.0,5.0,17.0,32.0,56.0,-24.0
15.0,CA Osasuna,30.0,21.0,7.0,7.0,16.0,31.0,48.0,-17.0
16.0,Gimnástica Torrelavega,30.0,21.0,7.0,7.0,16.0,25.0,48.0,-23.0
