Rank,Airport,Location,Code,Total passengers,% Change 2011-2012,Aircraft movements,Cargo traffic
1.0,Madrid Airport,Madrid,MAD,45195014.0,9.0,373185.0,359362155.0
2.0,Barcelona Airport,Barcelona,BCN,35145176.0,2.2,290004.0,96519698.0
3.0,Palma de Mallorca Airport,Palma de Mallorca,PMI,22666682.0,0.3,173957.0,13711903.0
4.0,Málaga Airport,Málaga,AGP,12582191.0,1.9,102153.0,2711468.0
5.0,Gran Canaria Airport,Las Palmas / Gran Canaria,LPA,9892288.0,6.1,100390.0,20603186.0
6.0,Alicante Airport,Alicante,ALC,8855441.0,10.7,62468.0,2525608.0
7.0,Tenerife South Airport,Tenerife,TFS,8530817.0,1.5,56210.0,3904961.0
8.0,Ibiza Airport,Ibiza,IBZ,5555071.0,1.6,57737.0,2616049.0
9.0,Lanzarote Airport,Lanzarote,ACE,5169386.0,6.8,44787.0,2108324.0
10.0,Valencia Airport,Valencia,VLC,4752020.0,4.6,59824.0,11125537.0
