Season,Games,W-L-T,Attendance,Average
1937.0,6.0,6-0-0,46826.0,7804.0
1942.0,4.0,4-0-0,15796.0,3949.0
1946.0,5.0,4-0-1,53000.0,10600.0
1947.0,4.0,2-2-0,54000.0,13500.0
1948.0,5.0,3-2-0,79479.0,15896.0
1949.0,5.0,2-3-0,98776.0,19755.0
1950.0,5.0,4-1-0,97748.0,19550.0
1951.0,5.0,5-0-0,107121.0,21424.0
1952.0,5.0,3-0-2,123481.0,24696.0
1953.0,5.0,3-2-0,113640.0,22728.0
1954.0,5.0,3-2-0,129700.0,25940.0
1955.0,5.0,4-1-0,113500.0,22700.0
1956.0,5.0,3-2-0,175000.0,35000.0
1957.0,5.0,3-2-0,152500.0,30500.0
1958.0,5.0,2-3-0,187500.0,37500.0
1959.0,6.0,3-3-0,177903.0,29651.0
1960.0,5.0,4-1-0,185653.0,37131.0
1961.0,6.0,5-1-0,199987.0,33331.0
1962.0,4.0,2-2-0,116000.0,29000.0
1963.0,5.0,1-4-0,135000.0,27000.0
1964.0,5.0,1-4-0,140600.0,28120.0
1965.0,5.0,3-1-1,129700.0,25940.0
1966.0,5.0,3-2-0,196188.0,39238.0
1967.0,5.0,4-1-0,196817.0,39363.0
1968.0,5.0,3-2-0,215574.0,43115.0
1969.0,5.0,5-0-0,175104.0,35021.0
1970.0,5.0,3-2-0,219521.0,43904.0
1971.0,5.0,5-0-0,220171.0,44034.0
1972.0,6.0,5-1-0,307044.0,51174.0
1973.0,5.0,3-2-0,246521.0,49304.0
1974.0,5.0,3-2-0,253762.0,50752.0
1975.0,6.0,6-0-0,281199.0,46867.0
1976.0,6.0,5-1-0,300191.0,50032.0
1977.0,6.0,5-1-0,293483.0,48914.0
1978.0,8.0,5-3-0,383048.0,47881.0
1979.0,6.0,1-5-0,265956.0,44326.0
1980.0,6.0,1-5-0,245868.0,40978.0
1981.0,6.0,3-3-0,209224.0,34871.0
1982.0,7.0,1-6-0,251909.0,41985.0
1983.0,6.0,3-3-0,237674.0,39612.0
1984.0,6.0,1-5-0,235670.0,39278.0
1985.0,6.0,4-2-0,220734.0,36789.0
1986.0,6.0,3-3-0,269546.0,44924.0
1987.0,6.0,4-2-0,268711.0,44785.0
1988.0,6.0,4-2-0,235142.0,39190.0
1989.0,6.0,6-0-0,293726.0,48954.0
1990.0,6.0,6-0-0,310374.0,51729.0
1991.0,6.0,4-1-1,311458.0,51910.0
1992.0,6.0,5-0-1,309900.0,51650.0
1993.0,6.0,4-2-0,311360.0,51893.0
1994.0,6.0,6-0-0,304897.0,50816.0
1995.0,6.0,4-2-0,312958.0,52160.0
1996.0,6.0,5-1,312586.0,52098.0
1997.0,6.0,3-3,309947.0,51658.0
1998.0,6.0,5-1,284512.0,47419.0
1999.0,5.0,4-1,239313.0,47863.0
2000.0,5.0,1-4,249950.0,49990.0
2001.0,6.0,5-1,284848.0,47475.0
2002.0,6.0,5-1,295286.0,49214.0
2003.0,6.0,3-3,302588.0,50431.0
2004.0,6.0,4-2,287368.0,47895.0
2005.0,6.0,5-1,302452.0,50409.0
2006.0,6.0,2-4,276286.0,46048.0
2007.0,6.0,3-3,303051.0,50509.0
2008.0,6.0,4-2,296858.0,49476.0
2009.0,6.0,3-3,300527.0,50088.0
2010.0,6.0,4-2,281182.0,46864.0
2011.0,5.0,1-4,251777.0,50355.0
