Date,Location,Opponent,Cyclones Points,Opp. Points,Record
Nov. 16/08,Ames,UMKC,77.0,45.0,1-0
Nov. 20/08,"Cedar Falls, Iowa",Northern Iowa,79.0,54.0,2-0
Nov. 23/08,"Omaha, NE",Creighton,63.0,59.0,3-0
Nov. 28/08,Honolulu,Prairie View A&M,75.0,59.0,4-0
Nov. 29/08,Honolulu,Stanford,45.0,83.0,4-1
Nov. 30/08,Honolulu,San Diego State,87.0,71.0,5-1
Dec. 7/08,"Iowa City, IA",Iowa,46.0,66.0,5-2
Dec. 11/08,Ames,Drake,65.0,52.0,6-2
Dec. 14/08,Ames,Detroit Mercy,75.0,39.0,7-2
Dec. 21/08,Ames,Minnesota,58.0,42.0,8-2
Dec. 29/08,Ames,Niagara,89.0,39.0,9-2
Dec. 30/08,Ames,North Dakota,76.0,46.0,10-2
Jan. 3/09,Ames,Vanderbilt,55.0,51.0,11-2
Jan. 7/09,Ames,IPFW,84.0,57.0,12-2
Jan. 10/09,Ames,Oklahoma State,63.0,55.0,13-2
Jan. 14/09,"Waco, TX",Baylor,57.0,68.0,13-3
Jan. 17/09,"Manhattan, KS",Kansas State,52.0,59.0,13-4
Jan. 21/09,Ames,Missouri,65.0,42.0,14-4
Jan. 24/09,"Lincoln, NE",Nebraska,62.0,48.0,15-4
Jan. 31/09,Ames,Kansas State,60.0,50.0,16-4
Feb. 4/09,Ames,Texas A&M,67.0,50.0,17-4
Feb. 7/09,"Boulder, CO",Colorado,53.0,47.0,18-4
Feb. 11/09,"Norman, OK",Oklahoma,49.0,58.0,18-5
Feb. 15/09,Ames,Texas,52.0,55.0,18-6
