Club,Champions,Final,Semis,Quarters,Round of 16,Series Played,Series Won,Series Lost,Series Won %
Los Angeles Galaxy,4.0,4.0,4.0,3.0,0.0,35.0,25.0,10.0,71.43%
D.C. United,4.0,1.0,2.0,3.0,0.0,22.0,16.0,6.0,72.73%
Houston Dynamo,2.0,4.0,1.0,2.0,0.0,16.0,12.0,4.0,75.00%
San Jose Earthquakes,2.0,0.0,1.0,5.0,0.0,13.0,7.0,6.0,53.85%
Chicago Fire,1.0,2.0,5.0,4.0,1.0,23.0,12.0,11.0,52.17%
Sporting Kansas City,1.0,1.0,4.0,5.0,0.0,19.0,9.0,10.0,47.37%
Colorado Rapids,1.0,1.0,3.0,6.0,0.0,19.0,9.0,10.0,47.37%
Columbus Crew,1.0,0.0,4.0,5.0,1.0,17.0,7.0,10.0,41.18%
Real Salt Lake,1.0,0.0,2.0,2.0,0.0,9.0,5.0,4.0,55.56%
New England Revolution,0.0,4.0,2.0,4.0,0.0,20.0,10.0,10.0,50.00%
FC Dallas,0.0,1.0,2.0,8.0,1.0,16.0,4.0,12.0,25.00%
New York Red Bulls,0.0,1.0,1.0,11.0,0.0,17.0,4.0,13.0,23.53%
Tampa Bay Mutiny,0.0,0.0,1.0,3.0,0.0,5.0,1.0,4.0,20.00%
Seattle Sounders FC,0.0,0.0,1.0,3.0,0.0,5.0,1.0,4.0,20.00%
Miami Fusion,0.0,0.0,1.0,2.0,0.0,4.0,1.0,3.0,25.00%
Chivas USA,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,00.00%
Philadelphia Union,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,00.00%
Vancouver Whitecaps FC,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,00.00%
Portland Timbers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00.00%
Toronto FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00.00%
Montreal Impact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00.00%
