Date,Time,Name,Flag,Casualties,Tonnage (GRT),Cargo,Sunk by...
9 Sept 1941,06:55,Empire Springbuck,United Kingdom,42.0,5591.0,Steel and explosives,U-81
9 Sept 1941,21:37,Muneric,United Kingdom,63.0,5229.0,Iron Ore,U-432
9 Sept 1941,23:48,Baron Pentland,United Kingdom,2.0,3410.0,Lumber,U-432
10 Sept 1941,02:10,Winterswijk,Netherlands,20.0,3205.0,Phosphates,U-432
10 Sept 1941,02:10,Stargard,Norway,2.0,1113.0,Lumber,U-432
10 Sept 1941,02:45,Sally Maersk,United Kingdom,0.0,3252.0,Wheat,U-81
10 Sept 1941,05:04,Empire Hudson,United Kingdom,4.0,7456.0,Wheat,U-82
10 Sept 1941,10:30,Thistleglen,United Kingdom,3.0,4748.0,Steel & Pig Iron,U-85
10 Sept 1941,20:57,Bulysses,United Kingdom,4.0,7519.0,Gas Oil,U-82
10 Sept 1941,21:00,Gypsum Queen,United Kingdom,10.0,3915.0,Sulphur,U-82
11 Sept 1941,00:10,Stonepool,United Kingdom,42.0,4815.0,"Grain, oats & trucks",U-207
11 Sept 1941,00:10,Berury,United Kingdom,1.0,4924.0,General,U-207
11 Sept 1941,02:10,Scania,Sweden,0.0,1980.0,Lumber,U-82
11 Sept 1941,02:10,Empire Crossbill,United Kingdom,49.0,5463.0,Steel,U-82
11 Sept 1941,02:30,Garm,Sweden,6.0,1231.0,Lumber,U-432
16 Sept 1941,19:00,Jedmore,United Kingdom,31.0,4392.0,Iron Ore,U-98
