Club,Position in 2012–13,First season in top division,Number of seasons in top division,Number of seasons in the Premier League,First season of current spell in top division,Top division titles,Last top division title
"Arsenal a, b",004 4th,1903–04,97.0,22.0,1919–20,13.0,2003–04
"Aston Villa a, b, c",015 15th,1888–89,103.0,22.0,1988–89,7.0,1980–81
"Cardiff City b, d",018 1st in the Championship,1921–22,16.0,1.0,2013–14,0.0,n/a
"Chelsea a, b",003 3rd,1907–08,79.0,22.0,1989–90,4.0,2009–10
Crystal Palace a,020 5th in the Championship,1969–70,14.0,5.0,2013–14,0.0,n/a
"Everton a, b, c",006 6th,1888–89,111.0,22.0,1954–55,9.0,1986–87
Fulham b,012 12th,1949–50,25.0,13.0,2001–02,0.0,n/a
Hull City,019 2nd in the Championship,2008–09,3.0,3.0,2013–14,0.0,n/a
"Liverpool a, b",007 7th,1894–95,99.0,22.0,1962–63,18.0,1989–90
Manchester City a,002 2nd,1899–1900,85.0,17.0,2002–03,3.0,2011–12
"Manchester United a, b",001 1st,1892–93,89.0,22.0,1975–76,20.0,2012–13
Newcastle United,016 16th,1898–99,83.0,20.0,2010–11,4.0,1926–27
Norwich City a,011 11th,1972–73,24.0,7.0,2011–12,0.0,n/a
Southampton a,014 14th,1966–67,37.0,15.0,2012–13,0.0,n/a
"Stoke City b, c",013 13th,1888–89,58.0,6.0,2008–09,0.0,n/a
Sunderland,017 17th,1890–91,83.0,13.0,2007–08,6.0,1935–36
"Swansea City b, d",009 9th,1981–82,5.0,3.0,2011–12,0.0,n/a
"Tottenham Hotspur a, b",005 5th,1909–10,79.0,22.0,1978–79,2.0,1960–61
West Bromwich Albion c,008 8th,1888–89,77.0,8.0,2010–11,1.0,1919–20
West Ham United,010 10th,1923–24,56.0,18.0,2012–13,0.0,n/a
