Province,Capital,Area (km²),Population census 1999,Population per km² (2009),Population census 2009
Central Province,Tulagi,615.0,21577.0,42.4,26051.0
Choiseul Province,Taro Island,3837.0,20008.0,6.9,26371.0
Guadalcanal Province,Honiara,5336.0,60275.0,17.5,93613.0
Isabel Province,Buala,4136.0,20421.0,6.3,26158.0
Makira-Ulawa Province,Kirakira,3188.0,31006.0,12.7,40419.0
Malaita Province,Auki,4225.0,122620.0,32.6,137596.0
Rennell and Bellona Province,Tigoa,671.0,2377.0,4.5,3041.0
Temotu Province,Lata,895.0,18912.0,23.9,21362.0
Western Province,Gizo,5475.0,62739.0,14.0,76649.0
Capital Territory,Honiara,22.0,49107.0,2936.8,64609.0
Solomon Islands,Honiara,28400.0,409042.0,14.7,515870.0
