Year,Album,U.S.,U.S. Christian,U.S. Indie
1983.0,Sneak Preview (as Sneak Preview),—,—,—
1988.0,Out of the Silent Planet,144,—,—
1989.0,Gretchen Goes to Nebraska,123,—,—
1990.0,Faith Hope Love,85,31,—
1992.0,King's X,138,—,—
1994.0,Dogman,88,—,—
1996.0,Ear Candy,105,4,—
1997.0,Best of King's X,—,—,—
1998.0,Tape Head,—,—,—
2000.0,Please Come Home... Mr. Bulbous,—,—,—
2001.0,Manic Moonlight,—,—,19
2003.0,Black Like Sunday,—,—,13
2004.0,Live All Over the Place,—,—,—
2005.0,Rehearsal CD Vol. 1 (EP),—,—,—
2005.0,Ogre Tones,—,—,30
2007.0,Live & Live Some More,—,—,—
2008.0,XV,145,167,12
2009.0,Tales From the Empire,—,—,—
2010.0,Live Love in London,—,—,—
2012.0,Burning Down Boston,—,—,—
