Rank,Nation,Gold,Silver,Bronze,Total
1,Russia,6.0,3.0,7.0,16.0
2,United States,5.0,0.0,4.0,9.0
3,Japan,3.0,4.0,1.0,8.0
4,France,3.0,1.0,1.0,5.0
5,Ukraine,2.0,0.0,2.0,4.0
6,Turkey,2.0,0.0,1.0,3.0
7,Sweden,2.0,0.0,0.0,2.0
8,Iran,1.0,2.0,1.0,4.0
9,Armenia,1.0,1.0,2.0,4.0
10,China,1.0,1.0,1.0,3.0
11,Austria,1.0,0.0,0.0,1.0
11,Bulgaria,1.0,0.0,0.0,1.0
11,South Korea,1.0,0.0,0.0,1.0
14,Germany,0.0,3.0,4.0,7.0
15,Kazakhstan,0.0,3.0,0.0,3.0
16,Cuba,0.0,2.0,3.0,5.0
17,Norway,0.0,2.0,0.0,2.0
18,Venezuela,0.0,1.0,1.0,2.0
19,Canada,0.0,1.0,0.0,1.0
19,Hungary,0.0,1.0,0.0,1.0
19,Israel,0.0,1.0,0.0,1.0
19,Moldova,0.0,1.0,0.0,1.0
19,Poland,0.0,1.0,0.0,1.0
19,Romania,0.0,1.0,0.0,1.0
25,Uzbekistan,0.0,0.0,1.0,1.0
Total,Total,29.0,29.0,29.0,87.0
