No. in series,No. in season,Title,Directed by,Written by,Original air date
27.0,1.0,"""Devil""",Peter Tolan,Denis Leary and Peter Tolan,"May30,2006"
28.0,2.0,"""Discovery""",Peter Tolan,Peter Tolan and Denis Leary,"June6,2006"
29.0,3.0,"""Torture""",Jace Alexander,Evan Reilly,"June13,2006"
30.0,4.0,"""Sparks""",Jace Alexander,Denis Leary and Peter Tolan,"June20,2006"
31.0,5.0,"""Chlamydia""",John Fortenberry,Evan Reilly,"June27,2006"
32.0,6.0,"""Zombies""",John Fortenberry,Peter Tolan and Denis Leary,"July11,2006"
33.0,7.0,"""Satisfaction""",Ken Girotti,Denis Leary and Peter Tolan,"July18,2006"
34.0,8.0,"""Karate""",Ken Girotti,Evan Reilly,"July25,2006"
35.0,9.0,"""Pieces""",Jace Alexander,Peter Tolan and Denis Leary,"August1,2006"
36.0,10.0,"""Retards""",Jace Alexander,Evan Reilly,"August8,2006"
37.0,11.0,"""Twilight""",John Fortenberry,John Scurti,"August15,2006"
38.0,12.0,"""Hell""",Peter Tolan,Denis Leary and Peter Tolan,"August22,2006"
