Rank,Heat,Lane,Nation,Time
1.0,2.0,4.0,Australia,4:04.75
2.0,2.0,5.0,Japan,4:05.76
3.0,3.0,3.0,Germany,4:06.02
4.0,3.0,4.0,United States,4:06.16
5.0,1.0,5.0,South Africa,4:07.19
6.0,1.0,4.0,Great Britain,4:07.52
7.0,2.0,6.0,China,4:08.27
8.0,2.0,3.0,Canada,4:08.47
9.0,2.0,2.0,Russia,4:09.64
10.0,3.0,5.0,Sweden,4:10.38
11.0,1.0,3.0,Belgium,4:10.98
12.0,1.0,2.0,Poland,4:11.08
13.0,1.0,7.0,Hungary,4:11.11
14.0,1.0,6.0,Netherlands,4:12.31
15.0,3.0,2.0,Spain,4:14.54
16.0,3.0,7.0,Ukraine,4:15.64
17.0,2.0,7.0,South Korea,4:16.93
18.0,3.0,6.0,Romania,4:23.56
