Driver,Constructor,Laps,Time/Retired,Grid
Jackie Stewart,Matra - Ford,14.0,2:19:03.2,6.0
Graham Hill,Lotus - Ford,14.0,+ 4:03.2,4.0
Jochen Rindt,Brabham - Repco,14.0,+ 4:09.4,3.0
Jacky Ickx,Ferrari,14.0,+ 5:55.2,1.0
Jack Brabham,Brabham - Repco,14.0,+ 6:21.1,15.0
Pedro Rodríguez,BRM,14.0,+ 6:25.0,14.0
Denny Hulme,McLaren - Ford,14.0,+ 6:31.0,11.0
Piers Courage,BRM,14.0,+ 7:56.4,8.0
Dan Gurney,Eagle - Weslake,14.0,+ 8:13.7,10.0
Hubert Hahne,Lola - BMW,14.0,+ 10:11.4,18.0
Jackie Oliver,Lotus - Ford,13.0,+ 1 Lap,13.0
"Kurt Ahrens, Jr.",Brabham - Repco,13.0,+ 1 Lap,17.0
Bruce McLaren,McLaren - Ford,13.0,+ 1 Lap,16.0
Richard Attwood,BRM,13.0,+ 1 Lap,20.0
Chris Amon,Ferrari,11.0,Accident,2.0
Jean-Pierre Beltoise,Matra,8.0,Accident,12.0
Jo Siffert,Lotus - Ford,6.0,Ignition,9.0
Lucien Bianchi,Cooper - BRM,6.0,Fuel Leak,19.0
John Surtees,Honda,3.0,Ignition,7.0
Vic Elford,Cooper - BRM,0.0,Accident,5.0
