Season,League,Division,GP,W,L,T,OTL,SOL,Pts,PCT,GF,GA,PIM,Coach(es),Result
1995–96,WCHL,WCHL,58.0,24.0,29.0,0.0,0.0,5.0,53.0,0.457,271.0,323.0,1439.0,Keith Gretzky,Out of playoffs
1996–97,WCHL,WCHL,64.0,33.0,26.0,0.0,0.0,5.0,71.0,0.555,345.0,325.0,2061.0,Keith Gretzky,Lost in round 1
1997–98,WCHL,WCHLS,64.0,22.0,37.0,0.0,0.0,5.0,49.0,0.383,226.0,330.0,1949.0,Keith Gretzky,Lost in round 1
1998–99,WCHL,WCHLS,70.0,21.0,40.0,0.0,0.0,9.0,51.0,0.364,213.0,308.0,2010.0,Kevin MacDonald,Lost in round 1
1999–00,WCHL,WCHLS,72.0,34.0,29.0,0.0,0.0,9.0,77.0,0.535,244.0,272.0,2343.0,Kevin MacDonald,Lost in round 1
2000–01,WCHL,WCHLS,72.0,26.0,36.0,0.0,0.0,10.0,62.0,0.431,220.0,273.0,2147.0,Kevin MacDonald,Lost in round 1
2001–02,WCHL,WCHLS,72.0,32.0,35.0,0.0,0.0,5.0,69.0,0.479,213.0,237.0,1377.0,Paul Kelly,Lost in round 1
2002–03,WCHL,WCHL,72.0,41.0,22.0,0.0,0.0,9.0,91.0,0.632,253.0,186.0,1625.0,Paul Kelly,Lost in round 1
2003–04,ECHL,Pacific,72.0,25.0,38.0,0.0,0.0,9.0,59.0,0.410,201.0,236.0,1750.0,"Paul Kelly, Marty Raymond",Out of Playoffs
2004–05,ECHL,West,72.0,40.0,22.0,0.0,5.0,5.0,90.0,0.625,232.0,205.0,1691.0,Marty Raymond,Lost in round 1
2005–06,ECHL,Pacific,72.0,40.0,26.0,0.0,2.0,4.0,86.0,0.597,221.0,222.0,1814.0,Marty Raymond,Lost in round 3
2006–07,ECHL,Pacific,72.0,41.0,19.0,0.0,3.0,9.0,94.0,0.653,270.0,236.0,1556.0,Marty Raymond,Lost in round 3
2007–08,ECHL,Pacific,72.0,26.0,37.0,0.0,2.0,7.0,61.0,0.424,230.0,280.0,1772.0,Marty Raymond,Lost in round 2
2008–09,ECHL,Pacific,72.0,33.0,31.0,0.0,3.0,5.0,74.0,0.514,246.0,263.0,1250.0,Marty Raymond,Lost in round 1
2009–10,ECHL,Pacific,72.0,38.0,29.0,0.0,4.0,1.0,81.0,0.563,232.0,243.0,1270.0,Marty Raymond,Lost in round 2
2010–11,ECHL,Pacific,72.0,41.0,27.0,0.0,2.0,2.0,86.0,0.597,222.0,210.0,1528.0,Marty Raymond,Lost in round 1
2011–12,ECHL,Pacific,72.0,24.0,41.0,0.0,4.0,3.0,55.0,0.382,199.0,241.0,1356.0,Matt O'Dette,Out of Playoffs
