Round,Overall,Player,Nationality,Club team
1.0,21.0,Anton Volchenkov,Russia,"Krylja Sovetov (Moscow, Russia)"
2.0,45.0,Mathieu Chouinard,Canada,Shawinigan Cataractes (QMJHL)
2.0,55.0,Antoine Vermette,Canada,Victoriaville Tigres (QMJHL)
3.0,87.0,Jan Bohac,Czech Republic,"HC Slavia Praha (Prague, Czech Republic)"
4.0,122.0,Derrick Byfuglien,United States,Fargo-Moorhead Ice Sharks (USHL)
5.0,156.0,Greg Zanon,Canada,University of Nebraska-Omaha (NCAA)
5.0,157.0,Grant Potulny,United States,Lincoln Stars (USHL)
5.0,158.0,Sean Connolly,United States,Marquette Northern Michigan University (NCAA)
6.0,188.0,Jason Maleyko,Canada,Brampton Battalion (OHL)
9.0,283.0,James DeMone,Canada,Portland Winterhawks (WHL)
