Season,Level,Position,Nationality,Apps,Goals
1973–74,3.0,Defender,England,54.0,3.0
1974–75,2.0,Defender,England,45.0,2.0
1975–76,2.0,Midfielder,England,38.0,8.0
1976–77,3.0,Midfielder,England,52.0,13.0
1977–78,4.0,Striker,England,50.0,13.0
1978–79,4.0,Striker,England,52.0,19.0
1979–80,4.0,Midfielder,England,51.0,9.0
1980–81,4.0,Goalkeeper,England,51.0,0.0
1981–82,4.0,Striker,Saint Kitts and Nevis,49.0,25.0
1982–83,4.0,Midfielder,England,52.0,9.0
1983–84,4.0,Defender,Scotland,52.0,10.0
1984–85,3.0,Defender,Scotland,55.0,9.0
1985–86,3.0,Midfielder,England,46.0,1.0
1986–87,3.0,Striker,Saint Kitts and Nevis,52.0,25.0
1987–88,3.0,Striker,England,43.0,18.0
1988–89,4.0,Striker,England,47.0,11.0
1989–90,4.0,Goalkeeper,England,53.0,0.0
1990–91,4.0,Defender,England,50.0,0.0
1991–92,4.0,Midfielder,Northern Ireland,49.0,9.0
1992–93,4.0,Defender,England,48.0,1.0
1993–94,3.0,Striker,England,49.0,25.0
1994–95,3.0,Midfielder,Northern Ireland,50.0,10.0
1995–96,3.0,Defender,South Africa,57.0,1.0
1996–97,3.0,Defender,England,57.0,1.0
1997–98,3.0,Midfielder,England,47.0,5.0
1998–99,3.0,Defender,England,51.0,2.0
1999–2000,4.0,Defender,England,40.0,1.0
2000–01,4.0,Goalkeeper,Northern Ireland,51.0,0.0
2001–02,4.0,Goalkeeper,Northern Ireland,52.0,0.0
2002–03,4.0,Defender,England,44.0,1.0
2003–04,4.0,Midfielder,England,45.0,4.0
2004–05,5.0,Defender,England,44.0,2.0
2005–06,5.0,Striker,England,45.0,18.0
2006–07,5.0,Midfielder,England,49.0,3.0
2007–08,5.0,Defender,England,56.0,1.0
2008–09,5.0,Defender,Wales,57.0,0.0
2009–10,5.0,Goalkeeper,Northern Ireland,55.0,0.0
2010–11,5.0,Defender,Wales,47.0,1.0
2011–12,5.0,Midfielder,England,42.0,1.0
2012–13,4.0,Defender,Wales,50.0,1.0
