Season,Date,Location,Discipline,Place
2009.0,20 Nov 2008,"Aspen , USA",Giant Slalom,1st
2010.0,12 Dec 2009,"Åre , Sweden",Giant Slalom,1st
2011.0,27 Nov 2010,"Aspen, USA",Giant Slalom,1st
2011.0,12 Dec 2010,"St.Moritz , Switzerland",Giant Slalom,1st
2011.0,28 Dec 2010,"Semmering , Austria",Giant Slalom,1st
2012.0,28 Dec 2011,"Lienz , Austria",Giant Slalom,3rd
2012.0,21 Jan 2012,"Kranjska Gora , Slovenia",Giant Slalom,1st
2012.0,12 Feb 2012,"Soldeu , Andorra",Giant Slalom,1st
2013.0,9 Dec 2012,"St. Moritz, Switzerland",Giant Slalom,3rd
2013.0,16 Dec 2012,"Courchevel , France",Giant Slalom,3rd
2013.0,28 Dec 2012,"Semmering, Austria",Giant Slalom,3rd
2013.0,17 Mar 2013,"Lenzerheide , Switzerland",Giant Slalom,2nd
