Game,February,Opponent,Score,Record,Points
53.0,4.0,Toronto Maple Leafs,6–1,27–20–6,60.0
54.0,6.0,@ St. Louis Blues,4–2,28–20–6,62.0
55.0,12.0,Calgary Flames,2–3,28–21–6,62.0
56.0,13.0,@ Toronto Maple Leafs,4–7,28–22–6,62.0
57.0,15.0,Hartford Whalers,5–4 OT,29–22–6,64.0
58.0,18.0,New York Islanders,3–3 OT,29–22–7,65.0
59.0,19.0,@ Buffalo Sabres,5–4,30–22–7,67.0
60.0,21.0,Detroit Red Wings,5–3,31–22–7,69.0
61.0,23.0,@ Detroit Red Wings,11–6,32–22–7,71.0
62.0,27.0,@ Los Angeles Kings,8–6,33–22–7,73.0
