Game,October,Opponent,Score,Record,Points
1.0,7.0,Quebec Nordiques,9–5,1–0–0,2.0
2.0,9.0,@ Washington Capitals,3–2,2–0–0,4.0
3.0,10.0,Washington Capitals,6–4,3–0–0,6.0
4.0,13.0,@ New York Rangers,2–5,3–1–0,6.0
5.0,14.0,Buffalo Sabres,4–2,4–1–0,8.0
6.0,16.0,@ Quebec Nordiques,4–3,5–1–0,10.0
7.0,18.0,@ New Jersey Devils,1–3,5–2–0,10.0
8.0,21.0,Montreal Canadiens,1–2,5–3–0,10.0
9.0,23.0,@ Pittsburgh Penguins,2–4,5–4–0,10.0
10.0,24.0,Detroit Red Wings,7–4,6–4–0,12.0
11.0,28.0,Pittsburgh Penguins,9–2,7–4–0,14.0
12.0,30.0,@ Minnesota North Stars,2–3,7–5–0,14.0
13.0,31.0,@ Winnipeg Jets,3–2,8–5–0,16.0
