Total tenure rank,Uninterrupted rank,Name,State represented,Dates of service,Total tenure time,Uninterrupted time
1.0,1.0,Robert Byrd,West Virginia,"January 3, 1959 – June 28, 2010","51 years, 176 days","51 years, 176 days"
2.0,2.0,Daniel Inouye,Hawaii,"January 3, 1963 – December 17, 2012","49 years, 349 days","49 years, 349 days"
4.0,3.0,Ted Kennedy,Massachusetts,"November 7, 1962 – August 25, 2009","46 years, 292 days","46 years, 292 days"
5.0,5.0,Carl Hayden,Arizona,"March 4, 1927 – January 3, 1969","41 years, 305 days","41 years, 305 days"
6.0,6.0,John C. Stennis,Mississippi,"November 7, 1947 – January 3, 1989","41 years, 59 days","41 years, 59 days"
7.0,7.0,Ted Stevens,Alaska,"December 24, 1968 – January 3, 2009","40 years, 10 days","40 years, 10 days"
8.0,8.0,Patrick Leahy,Vermont,"Since January 3, 1975","39years, 29days","39years, 29days"
9.0,9.0,Ernest Hollings,South Carolina,"November 8, 1966 – January 3, 2005","38 years, 55 days","38 years, 55 days"
10.0,10.0,"Richard Russell, Jr.",Georgia,"January 12, 1933 – January 21, 1971","38 years, 9 days","38 years, 9 days"
11.0,11.0,Russell B. Long,Louisiana,"December 31, 1948 – January 3, 1987","38 years, 3 days","38 years, 3 days"
13.0,12.0,Orrin Hatch,Utah,"Since January 3, 1977","37years, 29days","37years, 29days"
15.0,13.0,Warren Magnuson,Washington,"December 18, 1944 – January 3, 1981","36 years, 20 days","36 years, 20 days"
16.0,14.0,Joe Biden,Delaware,"January 3, 1973 – January 15, 2009","36 years, 12 days","36 years, 12 days"
17.0,15.0,Claiborne Pell,Rhode Island,"January 3, 1961 – January 3, 1997","36 years, 0 days","36 years, 0 days"
18.0,16.0,Pete Domenici,New Mexico,"January 3, 1973 – January 3, 2009","36 years, 0 days","36 years, 0 days"
