Rank,Nation,Gold,Silver,Bronze,Total
1,Soviet Union,12.0,0.0,4.0,16.0
2,West Germany,2.0,0.0,0.0,2.0
3,Bulgaria,1.0,5.0,1.0,7.0
4,Yugoslavia,1.0,2.0,1.0,4.0
5,Japan,1.0,1.0,2.0,4.0
5,United States,1.0,1.0,2.0,4.0
7,East Germany,1.0,1.0,1.0,3.0
7,Hungary,1.0,1.0,1.0,3.0
9,Finland,0.0,2.0,2.0,4.0
9,Poland,0.0,2.0,2.0,4.0
11,Czechoslovakia,0.0,1.0,0.0,1.0
11,Iran,0.0,1.0,0.0,1.0
11,South Korea,0.0,1.0,0.0,1.0
11,Sweden,0.0,1.0,0.0,1.0
11,Turkey,0.0,1.0,0.0,1.0
16,Romania,0.0,0.0,2.0,2.0
17,Austria,0.0,0.0,1.0,1.0
17,Mongolia,0.0,0.0,1.0,1.0
Total,Total,20.0,20.0,20.0,60.0
