Name,Position,Height,Weight,Year,Home Town
Anthony Tucker,Guard,6–4,200.0,Freshman,"Minnetonka, MN"
David Palmer,Center,6–9,240.0,Junior,"Antioch, TN"
J.R. Angle,Guard,6–7,215.0,Senior,"Franklin, IN"
Matt Gatens,Guard,6–5,215.0,Freshman,"Iowa City, IA"
Devan Bawinkel,Guard,6–5,210.0,Junior,"Winnebago, IL"
Andrew Brommer,Forward,6–9,235.0,Freshman,"Rosemount, MN"
Jermain Davis,Guard,6–4,200.0,Junior,"Plymouth, MN"
Aaron Fuller,Forward,6–6,210.0,Freshman,"Mesa, AZ"
Jeff Peterson,Guard,6–0,192.0,Sophomore,"Springfield, MO"
Jake Kelly,Guard,6–6,185.0,Sophomore,"Carmel, IN"
John Lickliter,Guard,5–11,175.0,Freshman,"Iowa City, IA"
Cyrus Tate,Forward,6–8,255.0,Senior,"Chicago, IL"
Jarryd Cole,Forward,6–7,250.0,Sophomore,"Kansas City, MO"
