Week,Date,Opponent,Result,Venue,Attendance
1.0,"September 17, 1961",Detroit Lions,L 17-13,Milwaukee County Stadium,44307.0
2.0,"September 24, 1961",San Francisco 49ers,W 30-10,City Stadium,38669.0
3.0,"October 1, 1961",Chicago Bears,W 24-0,City Stadium,38669.0
4.0,"October 8, 1961",Baltimore Colts,W 45-7,City Stadium,38669.0
5.0,"October 15, 1961",at Cleveland Browns,W 49-17,Cleveland Stadium,75042.0
6.0,"October 22, 1961",at Minnesota Vikings,W 33-7,Metropolitan Stadium,42007.0
7.0,"October 29, 1961",Minnesota Vikings,W 28-10,Milwaukee County Stadium,44112.0
8.0,"November 5, 1961",at Baltimore Colts,L 45-21,Memorial Stadium,57641.0
9.0,"November 12, 1961",at Chicago Bears,W 31-28,Wrigley Field,49711.0
10.0,"November 19, 1961",Los Angeles Rams,W 35-17,City Stadium,38669.0
11.0,"November 23, 1961",at Detroit Lions,W 17-9,Tiger Stadium,55662.0
12.0,"December 3, 1961",New York Giants,W 20-17,Milwaukee County Stadium,47012.0
13.0,"December 10, 1961",at San Francisco 49ers,L 22-21,Kezar Stadium,55722.0
14.0,"December 17, 1961",at Los Angeles Rams,W 24-17,Los Angeles Memorial Coliseum,49169.0
