Driver,Constructor,Laps,Time/Retired,Grid
Michael Schumacher,Ferrari,70.0,1:28:24.803,6.0
Rubens Barrichello,Ferrari,70.0,+5.108,7.0
Jenson Button,BAR - Honda,70.0,+20.409,2.0
Giancarlo Fisichella,Sauber - Petronas,69.0,+1 Lap,11.0
Kimi Räikkönen,McLaren - Mercedes,69.0,+1 Lap,8.0
David Coulthard,McLaren - Mercedes,69.0,+1 Lap,9.0
Timo Glock,Jordan - Ford,68.0,+2 Laps,16.0
Nick Heidfeld,Jordan - Ford,68.0,+2 Laps,15.0
Christian Klien,Jaguar - Cosworth,67.0,+3 Laps,10.0
Zsolt Baumgartner,Minardi - Cosworth,66.0,+4 Laps,18.0
Felipe Massa,Sauber - Petronas,62.0,Accident,17.0
Takuma Sato,BAR - Honda,48.0,Engine,20.0
Fernando Alonso,Renault,44.0,Driveshaft,5.0
Gianmaria Bruni,Minardi - Cosworth,30.0,Gearbox,19.0
Mark Webber,Jaguar - Cosworth,6.0,Suspension,14.0
Jarno Trulli,Renault,0.0,Transmission,3.0
Ralf Schumacher,Williams - BMW,70.0,Disqualified,1.0
Juan Pablo Montoya,Williams - BMW,70.0,Disqualified,4.0
Cristiano da Matta,Toyota,69.0,Disqualified,12.0
Olivier Panis,Toyota,69.0,Disqualified,13.0
