Rank,Heat,Name,Nationality,Time
1.0,3.0,Tyson Gay,United States,20.08
2.0,2.0,Usain Bolt,Jamaica,20.13
2.0,3.0,Marvin Anderson,Jamaica,20.13
4.0,1.0,Rodney Martin,United States,20.25
5.0,2.0,Wallace Spearmon,United States,20.26
6.0,1.0,Brian Dzingai,Zimbabwe,20.28
7.0,1.0,Brendan Christian,Antigua and Barbuda,20.36
8.0,3.0,Francis Obikwelu,Portugal,20.38
9.0,2.0,Churandy Martina,Netherlands Antilles,20.39
10.0,1.0,Christopher Williams,Jamaica,20.4
11.0,2.0,Bryan Barnett,Canada,20.41
12.0,4.0,Paul Hession,Ireland,20.5
13.0,4.0,Anastasios Gousis,Greece,20.51
14.0,4.0,Kristof Beyens,Belgium,20.52
15.0,3.0,Marcin Jędrusiński,Poland,20.53
16.0,4.0,Patrick Johnson,Australia,20.62
17.0,1.0,Matic Osovnikar,Slovenia,20.65
18.0,3.0,Sandro Viana,Brazil,20.68
19.0,3.0,Shingo Suetsugu,Japan,20.7
20.0,1.0,Amr Ibrahim Mostafa Seoud,Egypt,20.72
21.0,1.0,Shinji Takahira,Japan,20.77
22.0,2.0,Visa Hongisto,Finland,20.78
23.0,1.0,James Dolphin,New Zealand,20.8
24.0,4.0,Arnaldo Abrantes,Portugal,20.82
25.0,3.0,Marco Cribari,Switzerland,20.86
26.0,2.0,Tomoya Kamiyama,Japan,20.89
27.0,4.0,Ivan Teplykh,Russia,20.98
28.0,2.0,Basílio de Moraes,Brazil,21.07
29.0,4.0,Marc Schneeberger,Switzerland,21.09
30.0,2.0,Jacobi Mitchell,Bahamas,21.17
31.0,3.0,Guus Hoogmoed,Netherlands,21.32
32.0,4.0,Franklin Nazareno,Ecuador,21.5
