Series #,Season #,Title,Directed by,Written by,Original air date,Production code,U.S. viewers (million)
11.0,1.0,"""Satisfaction""",Anton Cropper,Peter Ocko,"March16,2012",FL201,3.50
12.0,2.0,"""Start Me Up""",Andy Wolk,Rob Fresco,"March23,2012",FL202,3.36
13.0,3.0,"""Bait & Switch""",Ken Girotti,Joanna Johnson,"March30,2012",FL203,2.77
14.0,4.0,"""Shine a Light""",Allan Kroeker,Jamie Pachino,"April6,2012",FL204,2.91
15.0,5.0,"""Gimme Shelter""",Peter Lauer,Tawnya Bhattacharya & Ali Laventhol,"April13,2012",FL205,2.83
16.0,6.0,"""What They Seem""",Anton Cropper,Tom Donaghy,"April20,2012",FL206,2.92
17.0,7.0,"""Teenage Wasteland""",Tawnia McKiernan,Ish Goldstein,"April27,2012",FL207,2.55
18.0,8.0,"""Ripple of Hope""",Peter Markle,Robert Nathan,"May4,2012",FL208,2.67
19.0,9.0,"""Kiss Me, Kate""",Michael Watkins,Roger Wolfson,"May11,2012",FL209,1.88
20.0,10.0,"""Shattered""",Andy Wolk,Jamie Pachino,"May18,2012",FL210,2.61
21.0,11.0,"""Borderline""",Matthew Penn,Joanna Johnson,"June1,2012",FL211,2.52
22.0,12.0,"""Force Majeure""",Peter Markle,Peter Ocko,"June8,2012",FL212,2.65
