District,Name,Party,Home city/town,First elected
1.0,Matthew Ritter,Dem,Hartford,2010.0
2.0,Dan Carter,Rep,Bethel,2010.0
3.0,Minnie Gonzalez,Dem,Hartford,1996.0
4.0,Angel Acre,Dem,Hartford,2012.0
5.0,Brandon McGee,Dem,Hartford,2012.0
6.0,Edwin Vargas,Dem,Hartford,2012.0
7.0,Douglas McCrory,Dem,Hartford,2004.0
8.0,Timothy Ackert,Rep,Coventry,2010.0
9.0,Jason Rojas,Dem,East Hartford,2008.0
10.0,Henry Genga,Dem,East Hartford,2006.0
11.0,Tim Larson,Dem,East Hartford,2008.0
12.0,Geoff Luxenberg,Dem,Manchester,2010.0
13.0,Joe Diminico,Dem,Manchester,2012.0
14.0,Bill Aman,Rep,South Windsor,2004.0
15.0,Dave Baram,Dem,Bloomfield,2009.0
16.0,John K. Hampton,Dem,Simsbury,2012.0
17.0,Timothy LeGeyt,Rep,Canton,2008.0
18.0,Andy Fleischmann,Dem,West Hartford,1994.0
19.0,Brian Becker,Dem,West Hartford,2010.0
20.0,Joseph Verrengia,Dem,West Hartford,2011.0
21.0,Mike Demicco,Dem,Farmington,2012.0
22.0,Elizabeth Boukus,Dem,Plainville,1994.0
23.0,Marilyn Giuliano,Rep,Old Saybrook,2002.0
24.0,Rick Lopes,Dem,New Britain,2012.0
25.0,Bobby Sanchez,Dem,New Britain,2011.0
26.0,Peter Tercyak,Dem,New Britain,2003.0
27.0,Sandy Nafis,Dem,Newington,1998.0
28.0,Russell Morin,Dem,Wethersfield,2006.0
29.0,Antonio Guerrera,Dem,Rocky Hill,2001.0
30.0,Joe Aresimowicz,Dem,Berlin,2004.0
31.0,Prasad Srinivasan,Rep,Glastonbury,2010.0
32.0,Christie Carpino,Rep,Cromwell,2010.0
33.0,Joseph Serra,Dem,Middletown,1992.0
34.0,Melissa Ziobron,Rep,East Hampton,2012.0
35.0,Tom Vicino,Dem,Westbrook,2012.0
36.0,Philip J. Miller,Dem,Essex,2011.0
37.0,Ed Jutila,Dem,Niantic,2004.0
38.0,Elizabeth Ritter,Dem,Waterford,2004.0
39.0,Ernest Hewett,Dem,New London,2004.0
40.0,Edward Moukawsher,Dem,Groton,2002.0
41.0,Elissa Wright,Dem,Groton,2006.0
42.0,Timothy Bowles,Dem,Ledyard,2012.0
43.0,Diana Urban,Dem,North Stonington,2000.0
44.0,Mae Flexer,Dem,Killingly,2008.0
45.0,Steve Mikutel,Dem,Griswold,1992.0
46.0,Emmett Riley,Dem,Norwich,2002.0
47.0,Brian Sear,Dem,Norwich,2012.0
48.0,Linda Orange,Dem,Colchester,1996.0
49.0,Susan Johnson,Dem,Windham,2008.0
50.0,Mike Alberts,Rep,Woodstock,2004.0
51.0,Daniel Rovero,Dem,Dayville,2010.0
52.0,Penny Bacchiochi,Rep,Somers,2002.0
53.0,Sam Belsito,Rep,Tolland,2013.0
54.0,Gregory Haddad,Dem,Mansfield,2010.0
55.0,Pamela Sawyer,Rep,Bolton,1992.0
56.0,Claire Janowski,Dem,Vernon,2000.0
57.0,Christopher Davis,Rep,Broad Brook,2010.0
58.0,David Alexander,Dem,Enfield,2012.0
59.0,David William Kiner,Dem,Enfield,2010.0
60.0,Peggy Sayers,Dem,Windsor Locks,1998.0
61.0,Elaine O'Brien,Dem,Suffield,2010.0
62.0,William Simanski,Rep,Granby,2010.0
