Pos.,Car #,Driver,Make,Team
1.0,23.0,Johnny Benson,Toyota,Bill Davis Racing
2.0,99.0,Erik Darnell,Ford,Roush Fenway Racing
3.0,30.0,Todd Bodine,Toyota,Germain Racing
4.0,2.0,Jack Sprague,Chevy,Kevin Harvick Incorporated
5.0,33.0,Ron Hornaday,Chevy,Kevin Harvick Incorporated
6.0,6.0,Colin Braun R,Ford,Roush Fenway Racing
7.0,4.0,Stacy Compton,Dodge,Bobby Hamilton Racing-Virginia
8.0,59.0,Ted Musgrave,Toyota,HT Motorsports
9.0,11.0,David Starr,Toyota,Red Horse Racing
10.0,8.0,Chad McCumbee,Chevrolet,MRD Motorsports
