County,Per capita income,Median household income,Median family income,Population,Number of households
United States,"$27,334","$51,914","$62,982",308745538.0,116716292.0
Pulaski,"$27,158","$45,121","$57,863",382748.0,158772.0
Benton,"$25,186","$50,434","$58,000",221339.0,82087.0
Saline,"$24,584","$51,502","$62,109",107118.0,41441.0
Faulkner,"$22,811","$45,287","$60,595",113237.0,42614.0
Garland,"$22,786","$36,844","$45,745",96024.0,40994.0
Lonoke,"$22,473","$50,757","$57,736",68356.0,25295.0
Washington,"$22,421","$42,303","$52,300",203065.0,76389.0
Sebastian,"$22,284","$39,482","$49,149",125744.0,49599.0
Grant,"$22,229","$51,589","$58,741",17853.0,6933.0
Arkansas,"$22,142","$37,230","$48,698",19019.0,8005.0
Craighead,"$21,728","$39,233","$52,540",96443.0,37291.0
Baxter,"$21,513","$35,606","$42,124",41513.0,18748.0
Arkansas,"$21,274","$39,267","$48,491",2915918.0,1147084.0
Nevada,"$21,020","$38,375","$46,658",8997.0,3697.0
White,"$20,900","$39,178","$46,012",77076.0,29342.0
Boone,"$20,507","$36,977","$46,005",36903.0,15120.0
Union,"$20,447","$36,464","$46,185",41639.0,16951.0
Cleburne,"$20,371","$35,753","$44,863",25970.0,11078.0
Columbia,"$20,110","$35,148","$46,855",24552.0,9759.0
Montgomery,"$20,010","$35,705","$43,306",9487.0,4000.0
Independence,"$19,912","$34,625","$43,775",36647.0,14391.0
Conway,"$19,909","$32,700","$48,116",21273.0,8463.0
Perry,"$19,844","$43,635","$50,364",10445.0,4170.0
Carroll,"$19,743","$34,235","$42,031",27446.0,11393.0
Pope,"$19,693","$39,841","$46,083",61754.0,23353.0
Miller,"$19,654","$40,307","$47,960",43462.0,17219.0
Marion,"$19,532","$34,109","$41,321",16653.0,7411.0
Cleveland,"$19,481","$36,957","$45,882",8689.0,3416.0
Logan,"$19,121","$37,551","$48,696",22353.0,8704.0
Drew,"$18,903","$32,558","$44,680",18509.0,7360.0
Clay,"$18,892","$29,066","$39,758",16083.0,6845.0
Bradley,"$18,845","$29,908","$39,125",11508.0,4673.0
Little River,"$18,808","$33,416","$45,341",13171.0,5411.0
Ashley,"$18,779","$34,934","$46,453",21853.0,8765.0
Randolph,"$18,751","$30,222","$43,552",17969.0,7299.0
Crawford,"$18,715","$40,197","$46,542",61948.0,23447.0
Jefferson,"$18,681","$35,998","$46,626",77435.0,28873.0
Madison,"$18,611","$36,502","$42,341",15717.0,6174.0
Woodruff,"$18,344","$27,186","$36,917",7260.0,3134.0
Cross,"$18,248","$37,021","$46,045",17870.0,7002.0
Hot Spring,"$18,248","$37,150","$46,090",32923.0,12664.0
Ouachita,"$18,244","$31,259","$42,771",26120.0,11003.0
Crittenden,"$18,241","$33,716","$42,042",50902.0,19026.0
Greene,"$18,225","$38,209","$45,776",42090.0,16425.0
Howard,"$18,216","$34,554","$40,538",13789.0,5365.0
Prairie,"$18,134","$35,346","$42,609",8715.0,3685.0
Pike,"$18,122","$32,806","$39,526",11291.0,4457.0
Franklin,"$18,010","$32,064","$39,723",18125.0,7037.0
Van Buren,"$17,999","$31,960","$40,161",17295.0,7433.0
Izard,"$17,737","$31,673","$39,668",13696.0,5731.0
Mississippi,"$17,736","$33,407","$39,644",46480.0,17741.0
Lafayette,"$17,699","$27,515","$37,072",7645.0,3150.0
Scott,"$17,668","$36,417","$39,425",11233.0,4368.0
Desha,"$17,582","$29,051","$36,349",13008.0,5321.0
Clark,"$17,186","$31,968","$45,336",22995.0,8783.0
Hempstead,"$17,177","$35,708","$41,820",22609.0,8839.0
Monroe,"$17,084","$29,964","$35,532",8149.0,3481.0
Fulton,"$17,067","$30,598","$36,489",12245.0,5196.0
Johnson,"$16,937","$30,592","$39,226",25540.0,9812.0
Polk,"$16,913","$32,267","$37,883",20662.0,8450.0
Poinsett,"$16,625","$32,267","$38,865",24583.0,9754.0
Sharp,"$16,570","$31,135","$39,435",17264.0,7360.0
Calhoun,"$16,457","$32,450","$39,615",5368.0,2262.0
Dallas,"$16,457","$29,602","$37,060",8116.0,3280.0
Yell,"$16,345","$36,606","$39,517",22185.0,8219.0
Stone,"$16,090","$30,380","$36,765",12394.0,5325.0
Newton,"$15,904","$27,441","$37,938",8330.0,3571.0
Sevier,"$15,590","$34,383","$39,263",17058.0,5975.0
Searcy,"$15,298","$28,811","$38,662",8195.0,3574.0
Phillips,"$15,244","$27,361","$32,902",21757.0,8491.0
Lawrence,"$15,168","$30,288","$38,957",17415.0,6938.0
Lincoln,"$15,024","$35,737","$39,493",14134.0,4207.0
Jackson,"$14,874","$27,615","$36,103",17997.0,6724.0
Chicot,"$14,668","$21,676","$32,679",11800.0,4579.0
St. Francis,"$13,693","$27,019","$34,233",28258.0,9616.0
Lee,"$13,103","$30,494","$34,261",10424.0,3624.0
