Series #,Season #,Title,Director,Writer(s),Airdate
410.0,1.0,""" Snap Decision """,Mark Rydell Category:Articles with hCards,Dick Carr Category:Articles with hCards,"September 17, 1966"
411.0,2.0,""" The Goldtakers """,Vincent McEveety Category:Articles with hCards,Clyde Ware Category:Articles with hCards,"September 24, 1966"
412.0,3.0,""" The Jailer """,Vincent McEveety Category:Articles with hCards,Hal Sitowitz Category:Articles with hCards,"October 1, 1966"
413.0,4.0,""" The Mission """,Mark Rydell Category:Articles with hCards,Richard Carr Category:Articles with hCards,"October 8, 1966"
414.0,5.0,""" The Good People """,Robert Totten Category:Articles with hCards,James Landis Category:Articles with hCards,"October 15, 1966"
415.0,6.0,""" Gunfighter, R.I.P. """,Mark Rydell Category:Articles with hCards,Michael Fisher Category:Articles with hCards,"October 22, 1966"
416.0,7.0,""" The Wrong Man """,Robert Totten Category:Articles with hCards,Robert Lewin Category:Articles with hCards,"October 29, 1966"
417.0,8.0,""" The Whispering Tree """,Vincent McEveety Category:Articles with hCards,"Calvin Clements, Sr. Category:Articles with hCards","November 12, 1966"
418.0,9.0,""" The Well """,Marc Daniels Category:Articles with hCards,Francis Cockrell Category:Articles with hCards,"November 19, 1966"
419.0,10.0,""" Stage Stop """,Irving J. Moore Category:Articles with hCards,Hal Sitowitz Category:Articles with hCards,"November 26, 1966"
420.0,11.0,""" The Newcomers """,Robert Totten Category:Articles with hCards,"Calvin Clements, Sr. Category:Articles with hCards","December 3, 1966"
421.0,12.0,""" Quaker Girl """,Bernard L. Kowalski Category:Articles with hCards,Preston Wood Category:Articles with hCards,"December 10, 1966"
422.0,13.0,""" The Moonstone """,Richard Colla Category:Articles with hCards,Paul Savage Category:Articles with hCards,"December 17, 1966"
423.0,14.0,""" Champion of the World """,Marc Daniels Category:Articles with hCards,Les Crutchfield Category:Articles with hCards,"December 24, 1966"
424.0,15.0,""" The Hanging """,Bernard L. Kowalski Category:Articles with hCards,"Calvin Clements, Jr. Category:Articles with hCards","December 31, 1966"
425.0,16.0,""" Saturday Night """,Robert Totten Category:Articles with hCards,Clyde Ware Category:Articles with hCards,"January 7, 1967"
426.0,17.0,""" Mad Dog """,Charles R. Rondeau Category:Articles with hCards,Jay Simms Category:Articles with hCards,"January 14, 1967"
427.0,18.0,""" Muley """,Allen Reisner Category:Articles with hCards,Les Crutchfield Category:Articles with hCards,"January 21, 1967"
428.0,19.0,""" Mail Drop """,Robert Totten Category:Articles with hCards,"Calvin Clements, Sr. Category:Articles with hCards","January 28, 1967"
429.0,20.0,""" Old Friend """,Allen Reisner Category:Articles with hCards,Clyde Ware Category:Articles with hCards,"February 4, 1967"
430.0,21.0,""" Fandango """,James Landis Category:Articles with hCards,Don Ingalls Category:Articles with hCards,"February 11, 1967"
431.0,22.0,""" The Returning """,Marc Daniels Category:Articles with hCards,James Landis Category:Articles with hCards,"February 18, 1967"
432.0,23.0,""" The Lure """,Marc Daniels Category:Articles with hCards,Clyde Ware Category:Articles with hCards,"February 25, 1967"
433.0,24.0,""" Noose of Gold """,Irving J. Moore Category:Articles with hCards,Preston Wood Category:Articles with hCards,"March 4, 1967"
434.0,25.0,""" The Favor """,Marc Daniels Category:Articles with hCards,Don Ingalls Category:Articles with hCards,"March 11, 1967"
436.0,27.0,""" Ladies from St. Louis """,Irving J. Moore Category:Articles with hCards,Clyde Ware Category:Articles with hCards,"March 25, 1967"
437.0,28.0,""" Nitro! "" – Part 1",Robert Totten Category:Articles with hCards,Preston Wood Category:Articles with hCards,"April 8, 1967"
