Name,Championship,League Cup,FA Cup,Total
Clinton Morrison Category:Articles with hCards,10.0,2.0,0.0,12.0
Elliott Ward Category:Articles with hCards,5.0,0.0,1.0,6.0
Daniel Fox Category:Articles with hCards,5.0,0.0,0.0,5.0
Robbie Simpson Category:Articles with hCards,3.0,2.0,0.0,5.0
Leon McKenzie Category:Articles with hCards,3.0,0.0,1.0,4.0
Leon Best Category:Articles with hCards,2.0,0.0,2.0,4.0
Scott Dann Category:Articles with hCards,3.0,1.0,0.0,4.0
Freddy Eastwood Category:Articles with hCards,4.0,0.0,0.0,4.0
Jay Tabb Category:Articles with hCards,3.0,0.0,0.0,3.0
Michael Doyle Category:Articles with hCards,2.0,0.0,1.0,3.0
Michael Mifsud Category:Articles with hCards,2.0,0.0,0.0,2.0
Aron Gunnarsson Category:Articles with hCards,1.0,0.0,1.0,2.0
Julian Gray Category:Articles with hCards,1.0,0.0,0.0,1.0
Guillaume Beuzelin Category:Articles with hCards,1.0,0.0,0.0,1.0
Jordan Henderson Category:Articles with hCards,1.0,0.0,0.0,1.0
David Bell Category:Articles with hCards,1.0,0.0,0.0,1.0
