Driver,Constructor,Laps,Time/Retired,Grid
Michael Schumacher,Benetton - Renault,45.0,1:22:56.043,2.0
David Coulthard,Williams - Renault,45.0,+5.988,3.0
Gerhard Berger,Ferrari,45.0,+1:08.097,4.0
Johnny Herbert,Benetton - Renault,45.0,+1:23.436,9.0
Jean-Christophe Boullion,Sauber - Ford,44.0,+1 lap,14.0
Aguri Suzuki,Ligier - Mugen-Honda,44.0,+1 lap,18.0
Ukyo Katayama,Tyrrell - Yamaha,44.0,+1 lap,17.0
Andrea Montermini,Pacific - Ford,42.0,+3 laps,23.0
Eddie Irvine,Jordan - Peugeot,41.0,Throttle,6.0
Mika Häkkinen,McLaren - Mercedes,33.0,Engine,7.0
Heinz-Harald Frentzen,Sauber - Ford,32.0,Engine,11.0
Luca Badoer,Minardi - Ford,28.0,Oil Leak,16.0
Giovanni Lavaggi,Pacific - Ford,27.0,Gearbox,24.0
Roberto Moreno,Forti - Ford,27.0,Halfshaft,22.0
Rubens Barrichello,Jordan - Peugeot,20.0,Engine,5.0
Mark Blundell,McLaren - Mercedes,17.0,Engine,8.0
Olivier Panis,Ligier - Mugen-Honda,13.0,Water Leak,12.0
Jean Alesi,Ferrari,12.0,Engine,10.0
Pierluigi Martini,Minardi - Ford,11.0,Engine,20.0
Taki Inoue,Footwork - Hart,9.0,Gearbox,19.0
Pedro Diniz,Forti - Ford,8.0,Brakes,21.0
Damon Hill,Williams - Renault,1.0,Halfshaft/Spun Off,1.0
Mika Salo,Tyrrell - Yamaha,0.0,Clutch,13.0
Massimiliano Papis,Footwork - Hart,0.0,Gearbox,15.0
