Date,Name of ship,Nationality,Tonnage,Fate
17 October 1939,City of Mandalay,UK,7028.0,Sunk
21 December 1939,Rudolf,Norway,924.0,Sunk
6 June 1940,HMSCarinthia,UK,20277.0,Sunk
9 June 1940,Margareta,UK,2155.0,Sunk
11 June 1940,Athelprince,UK,8782.0,Damaged
12 June 1940,Barbara Marie,UK,4223.0,Sunk
12 June 1940,Willowbank,UK,5041.0,Sunk
17 June 1940,Elpis,UK,3651.0,Sunk
16 August 1940,Alcinuos,Netherlands,6189.0,Damaged
16 August 1940,Leonidas M. Valmas,Greece,2080.0,Total loss
27 August 1940,HMS Dunvegan Castle,UK,15007.0,Sunk
31 August 1940,Ville de Hasselt,Belgium,7461.0,Sunk
2 September 1940,Thornlea,UK,4261.0,Sunk
4 September 1940,Lumineach,Ireland,1074.0,Sunk
26 September 1940,Coast Wings,UK,862.0,Sunk
26 September 1940,Siljan,Sweden,3058.0,Sunk
18 October 1940,Beatus,UK,4885.0,Sunk
18 October 1940,Convallera,Sweden,1996.0,Sunk
18 October 1940,Gunborg,Sweden,1572.0,Sunk
18 October 1940,Ruperra,UK,4548.0,Sunk
20 October 1940,Janus,Sweden,9965.0,Sunk
29 March 1941,Liguria,Sweden,1751.0,Sunk
31 March 1941,Castor,Sweden,8714.0,Sunk
2 April 1941,British Reliance,UK,7000.0,Sunk
3 April 1941,Alderpool,UK,4313.0,Damaged
8 June 1941,Ensis,UK,6207.0,Sunk
9 June 1941,Phidias,UK,5623.0,Sunk
