Barangay,Location,Classification,"Population (May, 2000)","Population (May, 2010)"
Abaca,upland,Rural,1361.0,1419.0
Baclao,upland,Rural,1012.0,888.0
Basak,upland,Rural,3010.0,3355.0
Bulata,coastal,Rural,4863.0,4753.0
Caliling,coastal,Urban,4570.0,5410.0
Camalanda-an,upland,Urban,4810.0,4703.0
Camindangan,upland,Rural,2727.0,2262.0
Elihan,coastal,Rural,1267.0,1535.0
Guiljungan,coastal,Urban,9870.0,9822.0
Inayawan,coastal,Rural,9407.0,10224.0
Isio,coastal,Urban,5089.0,6139.0
Linaon,coastal,Rural,3464.0,3308.0
Lumbia,upland,Rural,1098.0,1163.0
Mambugsay,coastal,Rural,4976.0,4997.0
Man-uling,coastal,Urban,2332.0,2732.0
Masaling,coastal,Urban,3615.0,3770.0
Molobolo,upland,Rural,1242.0,1165.0
Poblacion,coastal,Urban,8361.0,9418.0
Sura,upland,Rural,409.0,522.0
Talacdan,upland,Rural,3392.0,4165.0
Tambad,upland,Rural,904.0,1002.0
Tiling,coastal,Rural,3146.0,4135.0
Tomina,upland,Rural,947.0,1317.0
Tuyom,coastal,Urban,5407.0,6144.0
