Week,Date,Opponent,Result,Attendance
1.0,"September 21, 1975",at Green Bay Packers,W 30-16,52613.0
2.0,"September 28, 1975",at Atlanta Falcons,W 17-14,45218.0
3.0,"October 6, 1975",Dallas Cowboys,L 36-10,79384.0
4.0,"October 12, 1975",Chicago Bears,W 27-7,74032.0
5.0,"October 19, 1975",at Minnesota Vikings,L 25-19,47872.0
6.0,"October 26, 1975",at Houston Oilers,L 24-8,46904.0
7.0,"November 2, 1975",at San Francisco 49ers,W 28-17,43209.0
8.0,"November 9, 1975",Cleveland Browns,W 21-10,75283.0
9.0,"November 16, 1975",Green Bay Packers,W 13-10,76946.0
10.0,"November 23, 1975",at Kansas City Chiefs,L 24-21 OT,55161.0
11.0,"November 27, 1975",Los Angeles Rams,L 20-0,69552.0
12.0,"December 7, 1975",at Chicago Bears,L 25-21,37772.0
13.0,"December 14, 1975",Minnesota Vikings,W 17-10,73130.0
14.0,"December 21, 1975",St. Louis Cardinals,L 24-13,64656.0
