No. in series,No. in season,Title,Directed by,Written by,Original air date,Production code
89.0,1.0,"""Second Opinion""",Ed Sherin,Michael S. Chernuchin & Jeremy R. Littman,"September 21, 1994",69408.0
90.0,2.0,"""Coma""",Jace Alexander,Ed Zuckerman,"September 28, 1994",69406.0
91.0,3.0,"""Blue Bamboo""",Don Scardino,"Morgan Gendel , Hall Powell & René Balcer","October 5, 1994",69402.0
92.0,4.0,"""Family Values""",Constantine Makris,William N. Fordes & René Balcer,"October 12, 1994",69401.0
93.0,5.0,"""White Rabbit""",Steve Robman,Ed Zuckerman & Morgan Gendel,"October 19, 1994",69411.0
94.0,6.0,"""Competence""",Fred Gerber,Michael S. Chernuchin & Mark B. Perry,"November 2, 1994",69409.0
95.0,7.0,"""Precious""",Constantine Makris,I. C. Rapoport & René Balcer,"November 9, 1994",69410.0
96.0,8.0,"""Virtue""",Martha Mitchell,Mark B. Perry & Jeremy R. Littman,"November 23, 1994",69412.0
97.0,9.0,"""Scoundrels""",Marc Laub,Ed Zuckerman & Charles C. Mann,"November 30, 1994",69415.0
98.0,10.0,"""House Counsel""",James Quinn,Michael S. Chernuchin & Barry M. Schkolnick,"January 4, 1995",69413.0
99.0,11.0,"""Guardian""",Christopher Misiano,"Brad Markowitz, William N. Fordes & René Balcer","January 11, 1995",69404.0
100.0,12.0,"""Progeny""",Don Scardino,"Ed Zuckerman, Morgan Gendel & Mark B. Perry","January 25, 1995",69416.0
101.0,13.0,"""Rage""",Arthur W. Forney,Michael S. Chernuchin,"February 1, 1995",69414.0
102.0,14.0,"""Performance""",Martha Mitchell,"René Balcer, Jeremy R. Littman & Ed Zuckerman","February 8, 1995",69419.0
103.0,15.0,"""Seed""",Don Scardino,Michael S. Chernuchin & Janis Diamond,"February 15, 1995",69420.0
104.0,16.0,"""Wannabe""",Lewis H. Gould,I. C. Rapoport & René Balcer,"March 15, 1995",69417.0
105.0,17.0,"""Act of God""",Constantine Makris,Ed Zuckerman & Walter Dallenbach,"March 22, 1995",69422.0
106.0,18.0,"""Privileged""",Vincent Misiano,Jeremy R. Littman & Suzanne O'Malley,"April 5, 1995",69418.0
107.0,19.0,"""Cruel and Unusual""",Matthew Penn,René Balcer & Michael S. Chernuchin,"April 19, 1995",69423.0
108.0,20.0,"""Bad Faith""",Dann Florek,René Balcer,"April 26, 1995",69426.0
109.0,21.0,"""Purple Heart""",Arthur W. Forney,Morgan Gendel & William N. Fordes,"May 3, 1995",69421.0
110.0,22.0,"""Switch""",Christopher Misiano,Jeremy R. Littman & Sibyl Gardner,"May 17, 1995",69425.0
